2nd Nature Academy (Nashua, NH)
New Technology High School - 30 (Sioux Falls, SD)
New Technology West (Cleveland, OH)
New Testament Baptist School (Phenix City, AL)
New Testament Christian Center (Madison, FL)
New Testament Christian School (Alexandria, MN)
New Town High (Owings Mills, MD)
New Town High School (New Town, ND)
New Trails Early Learning Ctr. (Raytown, MO)
New Trier Township H S Northfield (Northfield, IL)
New Trier Township H S Winnetka (Winnetka, IL)
New Ulm Area Catholic Schools (New Ulm, MN)
New Ulm High School (New Ulm, MN)
New Underwood High School - 01 (New Underwood, SD)
New Urban High School (Milwaukie, OR)
New Utrecht High School (Brooklyn, NY)
New Valley Continuation High (Santa Clara, CA)
New Ventures Charter School (Staten Island, NY)
New Village Girls Academy (Los Angeles, CA)
New Vision Christian Academy (Mishawaka, IN)
New Vision Christian School (White Pine, TN)
New Vision High (Stockton, CA)
New Vision High School (Post Falls, ID)
New Visions Aim Charter High School I (Brooklyn, NY)
New Visions Aim Charter High School Ii (Bronx, NY)
New Visions Charter High School For The Humanities (Bronx, NY)
New Visions Charter High School For The Humanities Ii (Bronx, NY)
New Visions Charter High School For The Humanities Iii (Brooklyn, NY)
New Visions Charter High School For The Humanities Iv (Rockaway Park, NY)
New Visions Charter HS-Adv Math/Scie (Bronx, NY)
New Visions Charter School (Lake Geneva, WI)
New Visions Chtr HS-Adv Ma/Sci Ii (Bronx, NY)
New Visions Chtr HS-Adv Ma/Sci Iii (Brooklyn, NY)
New Visions Chtr HS-Adv Ma/Sci Iv (Jamaica, NY)
New Vista High School (Boulder, CO)
New Vista School (Laguna Hills, CA)
New Vistas School (Lakewood, CO)
New Vistas School (Lynchburg, VA)
New Washington Middle/High School (New Washington, IN)
New Waverly H S (New Waverly, TX)
New Waverly J H (New Waverly, TX)
New Way Academy (Phoenix, AZ)
New West Charter (Los Angeles, CA)
New West High School (Buffalo, WY)
New World Educational Center (Phoenix, AZ)
New World High School (Bronx, NY)
New World Preparatory Charter School (Staten Island, NY)
New World School Of The Arts (Miami, FL)
New York Avenue Elementary School (Somers Point, NJ)
New York Avenue School (Atlantic City, NJ)
New York City Children'S Center (Bellerose, NY)
New York Institute For Special Education (Bronx, NY)
New York Military Academy (Cornwall On Hudson, NY)
New York Mills Junior-Senior High School (New York Mills, NY)
New York Mills Secondary (New York Mills, MN)
New York School For The Deaf (White Plains, NY)
New York State School For The Blind (Batavia, NY)
New York State School For The Deaf (Rome, NY)
Newark Academy (Livingston, NJ)
Newark Catholic High School (Newark, OH)
Newark Charter School (Newark, DE)
Newark Comm High School (Newark, IL)
Newark Digital Academy (Newark, OH)
Newark High School (Newark, DE)
Newark High School (Newark, OH)
Newark Memorial High (Newark, CA)
Newark Senior High School (Newark, NY)
Newark Valley Senior High School (Newark Valley, NY)
Newaygo County Career Tech Center (Fremont, MI)
Newaygo High School (Newaygo, MI)
Newberg Senior High School (Newberg, OR)
Newberry Academy (Newberry, SC)
Newberry Area School (Newberry, MI)
Newberry Christian Community School (Gainesville, FL)
Newberry Correctional Facility (Newberry, MI)
Newberry County Career Center (Newberry, SC)
Newberry High (Newberry, SC)
Newberry High School (Newberry, FL)
Newberry Springs Elementary (Newberry Springs, CA)
Newbridge Road School (North Bellmore, NY)
Newburg Elem. (Newburg, MO)
Newburg High (Newburg, MO)
Newburg-United High School (Newburg, ND)
Newburgh Christian School (Newburgh, IN)
Newburgh Free Academy (Newburgh, NY)
Newbury High School (Newbury, OH)
Newbury Park Adventist Academy (Newbury Park, CA)
Newbury Park High (Newbury Park, CA)
Newburyport High (Newburyport, MA)
Newby Elementary School (Mcminnville, OR)
Newcastle Charter (Newcastle, CA)
Newcastle High School (Newcastle, WY)
Newcastle HS (Newcastle, OK)
Newcastle School (Newcastle, TX)
Newcomb Central School (Newcomb, NY)
Newcomb Elementary (Newcomb, NM)
Newcomb High (Newcomb, NM)
Newcomb Middle (Newcomb, NM)
Newcomer Academy (Louisville, KY)
Newcomer Academy At Lafayette (Buffalo, NY)
Newcomer Center (Arlington Heights, IL)
Newcomers Community School (Grand Rapids, MI)
Newcomers High School (Long Island City, NY)
Newcomerstown High School (Newcomerstown, OH)
Newell Elementary - 02 (Newell, SD)
Newell High School - 01 (Newell, SD)
Newell-Fonda High School (Newell, IA)
Newesd 101 Open Doors (Spokane, WA)
Newfane Middle School (Newfane, NY)
Newfane Senior High School (Newfane, NY)
Newfield High School (Selden, NY)
Newfield Middle School (Newfield, NY)
Newfield Senior High School (Newfield, NY)
Newfolden Elementary (Newfolden, MN)
Newfound Memorial Middle School (Bristol, NH)
Newfound Regional High School (Bristol, NH)
Newgate School (Sarasota, FL)
Newgulf El (Boling, TX)
Newhalen School (Iliamna, AK)
Newhall Elementary (Newhall, CA)
Newhart Middle (Mission Viejo, CA)
Newhope Academy (Arlington Heights, IL)
Newington Forest Elem (Springfield, VA)
Newington High School (Newington, CT)
Newkirk HS (Newkirk, OK)
Newland Elementary (Newland, NC)
Newlon Elementary School (Denver, CO)
Newman Catholic (Mason City, IA)
Newman Catholic High School (Wausau, WI)
Newman Catholic Schools (Wausau, WI)
Newman Central Catholic High School (Sterling, IL)
Newman Elementary (Chino, CA)
Newman Grove Elementary School (Newman Grove, NE)
Newman Grove High School (Newman Grove, NE)
Newman International Academy Of Arlington (Arlington, TX)
Newman International At Cedar Hill (Cedar Hill, TX)
Newmark Elementary (San Bernardino, CA)
Newmark High School (Scotch Plains, NJ)
Newmarket Elementary School (Newmarket, NH)
Newmarket Jr.-Sr. High (Elem) (Newmarket, NH)
Newnan High School (Newnan, GA)
Newport Area Career Tech Ctr (Newport, RI)
Newport Central Catholic High School (Newport, KY)
Newport Christian Academy (Newport, NC)
Newport Christian School (Newport Beach, CA)
Newport Elementary School (Newport, AR)
Newport Harbor High (Newport Beach, CA)
Newport Heights Elementary (Bellevue, WA)
Newport High School (Newport, AR)
Newport High School (Newport, KY)
Newport High School (Newport, OR)
Newport High School (Newport, WA)
Newport HS (Newport, PA)
Newport Middle High School (High) (Newport, NH)
Newport Regional School (Newport, KY)
Newport School Of Innovation (Newport, KY)
Newport Senior High School (Bellevue, WA)
Newport Town School (Newport Center, VT)
Newsome High School (Lithia, FL)
Newton Collins El (Austin, TX)
Newton Comm High School (Newton, IL)
Newton Country Day School (Newton, MA)
Newton County High School (Decatur, MS)
Newton County Voc Complex (Decatur, MS)
Newton Elementary School (South Strafford, VT)
Newton Falls High School (Newton Falls, OH)
Newton Falls Junior High School (Newton Falls, OH)
Newton H S (Newton, TX)
Newton High School (Covington, GA)
Newton High School (Newton, MS)
Newton High School (Newton, NJ)
Newton High School (Pleasant Hill, OH)
Newton Learning Center (Reno, NV)
Newton Municipal Career Center (Newton, MS)
Newton North High (Newtonville, MA)
Newton Senior High School (Newton, IA)
Newton South High (Newton Centre, MA)
Newton Sr High (Newton, KS)
Newton-Conover High (Newton, NC)
Newtown High School (Elmhurst, NY)
Newtown High School (Sandy Hook, CT)
Newtown-Harris High (Newtown, MO)
Newville El Sch (Newville, PA)
Nex Gen Academy (Albuquerque, NM)
Next Charter School (Derry, NH)
Next Door Charter (Milwaukee, WI)
Next Generation (Perry, FL)
Next Generation (Williston, FL)
Next High (Greenville, SC)
Nextech High School (Grand Rapids, MI)
Nextech High School Of Lansing (Okemos, MI)
Nezperce School (Nezperce, ID)
Nf Woods Campus (Mooresville, NC)
Nfi Buxton - Beacon House (Buxton, ME)
Nfi Sidney River Bend School (Sidney, ME)
Nfi-Stetson Ranch School (Stetson, ME)
Nfl Yet College Prep Academy (Phoenix, AZ)
Ni River Middle (Spotsylvania, VA)
Niagara Charter School (Niagara Falls, NY)
Niagara County Jail (Lockport, NY)
Niagara Elementary (Niagara, WI)
Niagara Falls High School (Niagara Falls, NY)
Niagara High (Niagara, WI)
Niagara Street School (Niagara Falls, NY)
Niagara-Wheatfield Senior High School (Sanborn, NY)
Niangua High (Niangua, MO)
Niantic Center School (Niantic, CT)
Nibley Park School (Salt Lake City, UT)
Nibley School (Nibley, UT)
Nicaea Academy (Naples, FL)
Nicaea Academy Of Cape Coral (Cape Coral, FL)
Niceville Senior High School (Niceville, FL)
Nicholas County Career/Technical Center (Craigsville, WV)
Nicholas County High School (Carlisle, KY)
Nicholas County High School (Summersville, WV)
Nicholas J. Begich Middle School (Anchorage, AK)
Nicholas Murray Butler Academy School No. 23 (Elizabeth, NJ)
Nicholas Orem Middle (Hyattsville, MD)
Nicholls Elementary School (Nicholls, GA)
Nichols Career Ctr. (Jefferson City, MO)
Nichols El (Frisco, TX)
Nichols Elementary School (Biloxi, MS)
Nichols Sawmill El (Magnolia, TX)
Nichols School (Buffalo, NY)
Nichols School (Stratford, CT)
Nichols Upper Es (Miami, OK)
Nicholson Elementary School (Marietta, GA)
Nicholson Elementary School (Picayune, MS)
Nickelsville Elem (Nickelsville, VA)
Nickerson High (Nickerson, KS)
Nicklaus Children'S Hospital (Miami, FL)
Nicolas Sevilla (Toa Alta, PR)
Nicolet Elementary (Menasha, WI)
Nicolet High (Glendale, WI)
Nicollet Early Childhood Special Ed (Nicollet, MN)
Nicollet Senior High School (Nicollet, MN)
Nidorf Barry J. (Sylmar, CA)
Niemann Elementary School (Michigan City, IN)
Nightingale Elem School (Chicago, IL)
Nightingale Montessori (Springfield, OH)
Nightingale-Bamford School (New York, NY)
Nigritian Academy (Bakersfield, CA)
Niihau High & Elementary School (Waimea, HI)
Nikiski Middle/Senior High School (Nikiski, AK)
Nikola Tesla Education Opportunity Center (Colorado Springs, CO)
Nikola Tesla Stem High School (Redmond, WA)
Nikolaevsk School (Nikolaevsk, AK)
Niles Cedar Lane (Niles, MI)
Niles Central (Skokie, IL)
Niles Comm Schools Adult Education (Niles, MI)
Niles Elementary (Fremont, CA)
Niles North High School (Skokie, IL)
Niles Senior High School (Niles, MI)
Niles Virtual School (Niles, MI)
Niles West High School (Skokie, IL)
Nimitz El (Kerrville, TX)
Nimitz H S (Houston, TX)
Nimitz H S (Irving, TX)
Nina Harris Ese Center (Pinellas Park, FL)
Ninety Six High (Ninety Six, SC)
Ninety-Fifth Street Elementary (Los Angeles, CA)
Ninety-Third Street Elementary (Los Angeles, CA)
Ninilchik School (Ninilchik, AK)
Niobrara County High School (Lusk, WY)
Niobrara Secondary School (Niobrara, NE)
Niota Elementary (Niota, TN)
Nipher Middle (Kirkwood, MO)
Nipmuc Regional High (Upton, MA)
Nipomo Elementary (Nipomo, CA)
Nipomo High (Nipomo, CA)
Nippersink Middle School (Richmond, IL)
Nisd Bexar County Jja (San Antonio, TX)
Niskayuna High School (Schenectady, NY)
Nissitissit Middle School (Pepperell, MA)
Nitro High School (Nitro, WV)
Niwot Elementary School (Niwot, CO)
Niwot High School (Niwot, CO)
Nixa High (Nixa, MO)
Nixon (Patricia) Elementary (Cerritos, CA)
Nixon Elem School (Chicago, IL)
Nixon H S (Laredo, TX)
Nixon Smiley El (Smiley, TX)
Nixon-Smiley Cisd Daep (Smiley, TX)
Nixon-Smiley H S (Nixon, TX)
Nixon-Smiley Pace (Smiley, TX)
Nixyaawii Community School (Pendleton, OR)
Nizhoni Accelerated Academy (Tuba City, AZ)
Nj Regional Day School - Newark (Newark, NJ)
Nm School For The Arts (Santa Fe, NM)
Nm School For The Blind And Visually Impaired (Alamogordo, NM)
Nm School For The Deaf (Santa Fe, NM)
Nnbhc-The Academy At Lee Hall (Newport News, VA)
No. Ut. Acad. For Math Engineering & Science (Layton, UT)
No. Ut. Acad. Of Math Engineering & Science Ogden (Ogden, UT)
Noah Webster Academy (Orem, UT)
Noah Webster Schools-Pima (Scottsdale, AZ)
Nobis Pacem (San Antonio, TX)
Noble 4-5 Elementary (Tiffin, OH)
Noble Academy (Greensboro, NC)
Noble And Greenough School (Dedham, MA)
Noble Elementary (Golden Valley, MN)
Noble Elementarymiddle School (Detroit, MI)
Noble High School (North Berwick, ME)
Noble HS (Noble, OK)
Noble Leadership Academy (Passaic, NJ)
Noble Middle School (Berwick, ME)
Noble Minds (New Orleans, LA)
Noble Prentis Elem (Kansas City, KS)
Noble Reed (Crandall, TX)
Noble St Chtr - Mansueto (Chicago, IL)
Noble St Chtr Rauner College Prep (Chicago, IL)
Noble St Chtr-Baker Campus (Chicago, IL)
Noble St Chtr-Butler College Prep - Crimson (Chicago, IL)
Noble St Chtr-Chicago Bulls Prep (Chicago, IL)
Noble St Chtr-Comer College Prep (Chicago, IL)
Noble St Chtr-Drw Trading College Prep (Chicago, IL)
Noble St Chtr-Golder College Prep (Chicago, IL)
Noble St Chtr-Hansberry College Prep - Silver (Chicago, IL)
Noble St Chtr-Itw Speer Acad (Chicago, IL)
Noble St Chtr-Johnson College Prep (Chicago, IL)
Noble St Chtr-Muchin College Prep (Chicago, IL)
Noble St Chtr-Noble Campus (Chicago, IL)
Noble St Chtr-Pritzker College Prep (Chicago, IL)
Noble St Chtr-Rowe-Clark Ms Acad (Chicago, IL)
Noble St Chtr-The Noble Academy (Chicago, IL)
Noble St Chtr-Uic College Prep (Chicago, IL)
Noblesville High School (Noblesville, IN)
Nocona H S (Nocona, TX)
Nodaway Valley High School (Greenfield, IA)
Nodaway-Holt Ms/HS (Graham, MO)
Noe Middle (Louisville, KY)
Noel Community Arts School (Denver, CO)
Noel Levasseur Elem School (Bourbonnais, IL)
Noel Primary (Noel, MO)
Nogales High (La Puente, CA)
Nogales High School (Nogales, AZ)
Nokomis Jr/Sr High Sch (Nokomis, IL)
Nokomis Montessori North Campus (Saint Paul, MN)
Nokomis Regional High School (Newport, ME)
Nola Kathryn Wilson El (Crandall, TX)
Nolan Catholic High School (Fort Worth, TX)
Nolan Elementary (Signal Mountain, TN)
Nolensville High School (Nolensville, TN)
Noli School (San Jacinto, CA)
Nolley Elementary School (Akron, OH)
Nome Elementary (Nome, AK)
Nome-Beltz Middle/High (Nome, AK)
Nompeng Academy (Brooklyn Center, MN)
Non-Enrolled Pk Exceptional Ed Program (Sebring, FL)
Nondalton School (Nondalton, AK)
Nonnewaug High School (Woodbury, CT)
Nonschool Exceptional Education (Tavares, FL)
Nooksack Reengagement (Everson, WA)
Nooksack Valley High School (Everson, WA)
Noor-Ul-Iman School (Monmouth Junction, NJ)
Norborne Elem. (Norborne, MO)
Norborne High (Norborne, MO)
Norco High (Norco, CA)
Norcross High School (Norcross, GA)
Nordale Elementary (Fairbanks, AK)
Nordheim School (Nordheim, TX)
Nordhoff High (Ojai, CA)
Nordonia High School (Macedonia, OH)
Nordstrom Elementary (Morgan Hill, CA)
Norfolk Academy (Norfolk, VA)
Norfolk Alternative High (Norfolk, VA)
Norfolk Catholic High School (Norfolk, NE)
Norfolk Christian Schools (Norfolk, VA)
Norfolk Collegiate School (Norfolk, VA)
Norfolk County Agricultural (Walpole, MA)
Norfolk Highlands Primary (Chesapeake, VA)
Norfolk Middle School (Norfolk, NE)
Norfolk Senior High School (Norfolk, NE)
Norfork High School (Norfork, AR)
Noriega Children Center (San Francisco, CA)
Norland Middle School (Miami, FL)
Norlina Christian School (Norlina, NC)
Norma Adams Clemons Academy (Brooklyn, NY)
Norma Coombs Elementary (Pasadena, CA)
Normal Community High School (Normal, IL)
Normal Community West High School (Normal, IL)
Norman Binkley Elementary (Nashville, TN)
Norman Borlaug Elementary School (Coralville, IA)
Norman County East Secondary (Twin Valley, MN)
Norman HS (Norman, OK)
Norman North HS (Norman, OK)
Norman Rockwell Elementary (Redmond, WA)
Norman S. Edelcup/Sunny Isles Beach K-8 (Sunny Isles Beach, FL)
Norman S. Weir (Paterson, NJ)
Normandale Hills Elementary (Bloomington, MN)
Normandy High (St Louis, MO)
Normandy High School (Parma, OH)
Normandy Park Education Center (White Bear Lake, MN)
Normangee El (Normangee, TX)
Normangee H S (Normangee, TX)
Normative Services (Sheridan, WY)
Norris Academy (Andersonville, TN)
Norris Academy (Mukwonago, WI)
Norris Academy Virtual School (Mukwonago, WI)
Norris City-Omaha Elem School (Norris City, IL)
Norris City-Omaha-Enfield H S (Norris City, IL)
Norris High School (Firth, NE)
Norristown Area HS (Norristown, PA)
Norseman Elementary (Fresno, CA)
Norte Vista High (Riverside, CA)
North Adams High School (Seaman, OH)
North Adamsjerome Middlehigh School (North Adams, MI)
North Allegheny HS (Wexford, PA)
North American Academy (Hialeah, FL)
North American Hockey Academy (Ashland, MA)
North Andover High (North Andover, MA)
North Andrew Elem. (Rosendale, MO)
North Andrew High (Rosendale, MO)
North Area Community (Sacramento, CA)
North Ark College Secondary Center (Harrison, AR)
North Arlington High School (North Arlington, NJ)
North Arlington Middle School (North Arlington, NJ)
North Arvada Middle School (Arvada, CO)
North Asheboro Middle (Asheboro, NC)
North Atlanta High School (Atlanta, GA)
North Attleboro High (North Attleborough, MA)
North Attleborough Middle (North Attleborough, MA)
North Augusta High (North Augusta, SC)
North Augusta Middle (North Augusta, SC)
North Babylon High School (North Babylon, NY)
North Baldwin Center For Technology (Bay Minette, AL)
North Baltimore High School (North Baltimore, OH)
North Barrington Elem School (North Barrington, IL)
North Bay Christian Academy (Novato, CA)
North Bay Elementary School (Biloxi, MS)
North Bay Haven Career Academy (Panama City, FL)
North Bay Haven Charter Academy Elementary School (Panama City, FL)
North Bay Met Academy (Windsor, CA)
North Beach Senior High School (Ocean Shores, WA)
North Bend Central High School (North Bend, NE)
North Bend Central Middle School (North Bend, NE)
North Bend Senior High School (North Bend, OR)
North Bergen High School (N Bergen, NJ)
North Boone High School (Poplar Grove, IL)
North Border-Pembina Elementary School (Pembina, ND)
North Border-Pembina High School (Pembina, ND)
North Border-Walhalla Elementary School (Walhalla, ND)
North Border-Walhalla High School (Walhalla, ND)
North Branch High School (North Branch, MI)
North Branch Senior High (North Branch, MN)
North Branford High School (North Branford, CT)
North Bridge El (Weslaco, TX)
North Bronx School Of Empowerment (Bronx, NY)
North Brookfield High (North Brookfield, MA)
North Broward Preparatory School (Coconut Creek, FL)
North Brunswick High (Leland, NC)
North Brunswick Township High School (North Brunswick, NJ)
North Bullitt High School (Shepherdsville, KY)
North Buncombe High (Weaverville, NC)
North Butler Elementary (Allison, IA)
North Butler Jr/Sr High School (Greene, IA)
North Caddo High School (Vivian, LA)
North Callaway High (Kingdom City, MO)
North Campus (Palatine, IL)
North Canton Middle School (North Canton, OH)
North Canyon High School (Phoenix, AZ)
North Carolina Cyber Academy (Durham, NC)
North Caroline High School (Ridgely, MD)
North Catholic High School (Cranberry Township, PA)
North Cedar Academy (Ladysmith, WI)
North Cedar Jr/Sr High School (Clarence, IA)
North Cedar Mechanicsville Elem Ctr (Mechanicsville, IA)
North Central Academy (Tiffin, OH)
North Central Academy Campus (Mancelona, MI)
North Central Area Senior High School (Powers, MI)
North Central Career Ctr. (Bethany, MO)
North Central Florida Public Charter School (Gainesville, FL)
North Central High (Kershaw, SC)
North Central High School (Indianapolis, IN)
North Central High School (Spokane, WA)
North Central High School (Washington, LA)
North Central Jr/Sr High School (Farmersburg, IN)
North Central Junior High School (North Liberty, IA)
North Central Junior/High School (Pioneer, OH)
North Central Regional (Moberly, MO)
North Central Secure Trmnt Unt (Danville, PA)
North Central Texas Academy (Granbury, TX)
North Central Vocational Center (Leslie, AR)
North Charleston High (North Charleston, SC)
North Chevy Chase Elementary (Chevy Chase, MD)
North Chicago Community High Sch (North Chicago, IL)
North Clackamas Christian School (Oregon City, OR)
North Clarion Co Jshs (Tionesta, PA)
North Clay Community High School (Louisville, IL)
North Clayton High School (College Park, GA)
North Cleveland Goal Academy (Cleveland, TN)
North Co. Sr. High (Bonne Terre, MO)
North Coast Mennonite (Hydesville, CA)
North Coastal Consortium Schools (San Marcos, CA)
North Cobb High School (Kennesaw, GA)
North Coffee Elementary (Manchester, TN)
North Coleman Road School (Centereach, NY)
North College Hill Elementary School (North College Hill, OH)
North College Hill High School (Cincinnati, OH)
North Collins Elementary School (North Collins, NY)
North Collins Junior-Senior High School (North Collins, NY)
North Columbia Elementary School (Appling, GA)
North Community Senior High (Minneapolis, MN)
North Conejos Alternative Program (Lajara, CO)
North Cook Young Adult Academy (Des Plaines, IL)
North Corbin Junior High School (Walker, LA)
North Country Career Center (Newport, VT)
North Country Charter Academy (H) (Littleton, NH)
North Country Charter Academy Lancaster (H) (Lancaster, NH)
North Country Elementary (Antelope, CA)
North Country Senior Uhsd #22 (Newport, VT)
North Country Voc. Coop. Ctr. (Bemidji, MN)
North County Christian School (Florissant, MO)
North County High (Glen Burnie, MD)
North County Parkside Elem. (Desloge, MO)
North County Primary (Bonne Terre, MO)
North County Regional Occupational Program (Sunnyvale, CA)
North County Trade Tech High (Vista, CA)
North Cove Elementary School (Marion, NC)
North Coventry El Sch (Pottstown, PA)
North Crawford Elementary (Soldiers Grove, WI)
North Crawford High (Soldiers Grove, WI)
North Creek High School (Bothell, WA)
North Cross School (Roanoke, VA)
North Crowley H S (Fort Worth, TX)
North Dade Regional Academy (Miami Gardens, FL)
North Dallas Adventist Academy (Richardson, TX)
North Dallas H S (Dallas, TX)
North Davidson High (Lexington, NC)
North Davidson Middle (Lexington, NC)
North Daviess High (Jameson, MO)
North Daviess Jr-Sr High School (Elnora, IN)
North Dayton School Of Science & Discovery (Dayton, OH)
North Decatur Jr-Sr High School (Greensburg, IN)
North Delta Alternative School (Sumner, MS)
North Delta School (Batesville, MS)
North Desoto High School (Stonewall, LA)
North Dickinson El Sch (Carlisle, PA)
North Dickinson School (Felch, MI)
North Division High (Milwaukee, WI)
North Dorchester High School (Hurlock, MD)
North Douglas Elementary School (Drain, OR)
North Douglas High School (Drain, OR)
North Dover Elementary School (Dover, NJ)
North Dover Elementary School (Toms River, NJ)
North Duplin Jr Sr High (Mt. Olive, NC)
North East Carolina Prep (Tarboro, NC)
North East High (Arma, KS)
North East High (North East, MD)
North East HS (North East, PA)
North East J J A E P (San Antonio, TX)
North Edgecombe High (Tarboro, NC)
North Education Center Academy (New Hope, MN)
North El (Breckenridge, TX)
North Elem. (Warsaw, MO)
North Elementary (Lancaster, SC)
North Elementary School (Brighton, CO)
North Elementary School (Danville, IN)
North Elementary School (East Liverpool, OH)
North Elementary School (Godfrey, IL)
North Elementary School (Ithaca, MI)
North Elementary School (Madison, OH)
North Elementary School (Skowhegan, ME)
North Elementary School (Sycamore, IL)
North Elementary School (Watervliet, MI)
North End Elementary (Roxboro, NC)
North End Elementary School (Cedar Grove, NJ)
North Eugene High School (Eugene, OR)
North Euless El (Euless, TX)
North Farmington High School (Farmington Hills, MI)
North Fayette Valley High School (West Union, IA)
North Florida Arts & Sciences Academy (Lake City, FL)
North Florida Christian School (Tallahassee, FL)
North Florida School Of Special Education (Jacksonville, FL)
North Florida Technical College (Starke, FL)
North Forest H S (Houston, TX)
North Forest Pines Elementary (Raleigh, NC)
North Forestville Elementary (Forestville, MD)
North Fork Christian School (Petersburg, WV)
North Forney H S (Forney, TX)
North Forrest Attendance Center (Hattiesburg, MS)
North Forrest High School (Hattiesburg, MS)
North Forsyth High (Winston Salem, NC)
North Forsyth High School (Cumming, GA)
North Fort Myers High School (North Fort Myers, FL)
North Fremont Jr/Sr High School (Ashton, ID)
North Gardens High School (Miami Gardens, FL)
North Gaston High (Dallas, NC)
North Gem High School (Bancroft, ID)
North Gem Middle School (Bancroft, ID)
North Georgia Christian Academy, Inc (Ellijay, GA)
North Glen Elementary (Glen Burnie, MD)
North Greene High School (Greeneville, TN)
North Greene Jr/Sr High Sch (White Hall, IL)
North Grove Elementary School (Greenwood, IN)
North Gwinnett High School (Suwanee, GA)
North Hagerstown High (Hagerstown, MD)
North Hall High School (Gainesville, GA)
North Hampton School (North Hampton, NH)
North Hanover Township Upper Elementary School (Wrightstown, NJ)
North Hardin Christian School (Radcliff, KY)
North Hardin High School (Radcliff, KY)
North Harford High (Pylesville, MD)
North Harlem Elementary (Harlem, MT)
North Harlem Elementary School (Harlem, GA)
North Harrison Elementary School (Ramsey, IN)
North Harrison High (Eagleville, MO)
North Harrison High School (Ramsey, IN)
North Haven Community School (North Haven, ME)
North Haven High School (North Haven, CT)
North Heights Alter (Amarillo, TX)
North Henderson High (Hendersonville, NC)
North Henry Academy (Stockbridge, GA)
North High (Appleton, WI)
North High (Bakersfield, CA)
North High (Eau Claire, WI)
North High (Oshkosh, WI)
North High (Sheboygan, WI)
North High (St Louis, MO)
North High (Torrance, CA)
North High (Waukesha, WI)
North High (Wichita, KS)
North High (Worcester, MA)
North High School (Akron, OH)
North High School (Davenport, IA)
North High School (Denver, CO)
North High School (Des Moines, IA)
North High School (Eastlake, OH)
North High School (Evansville, IN)
North High School (Fargo, ND)
North High School (Phoenix, AZ)
North High School (Sioux City, IA)
North High School Engagement Center (Denver, CO)
North Hill Elementary School (Rochester Hills, MI)
North Hills Christian School (Salisbury, NC)
North Hills Christian School (Vallejo, CA)
North Hills Ms (Pittsburgh, PA)
North Hills Prep (Van Nuys, CA)
North Hills Shs (Pittsburgh, PA)
North Holland Elementary School (Holland, MI)
North Hollywood Senior High (North Hollywood, CA)
North Hopkins H S (Sulphur Springs, TX)
North Houston Early College H S (Houston, TX)
North HS (Edmond, OK)
North Hunterdon High School (Annandale, NJ)
North Huron School (Kinde, MI)
North Idaho Christian School (Hayden, ID)
North Idaho Stem Charter Academy (Rathdrum, ID)
North Intermediate (Wilmington, MA)
North Iowa Christian School (Mason City, IA)
North Iowa High School (Buffalo Center, IA)
North Iredell High (Olin, NC)
North Jackson Elementary (Glasgow, KY)
North Jackson Elementary School (Jackson, MS)
North Jackson High School (Stevenson, AL)
North Johnston High (Kenly, NC)
North Johnston Middle (Micro, NC)
North Jones Elementary School (Laurel, MS)
North Joshua El (Burleson, TX)
North Kansas City High (Kansas City, MO)
North Kingstown Sr. High (North Kingstown, RI)
North Kissimmee Christian School (Kissimmee, FL)
North Kitsap High School (Poulsbo, WA)
North Knox Intermediate (Bruceville, IN)
North Knox Jr-Sr High School (Bicknell, IN)
North Knox Primary School (Bicknell, IN)
North Lake High School (Saint Clair Shores, MI)
North Lake School (Silver Lake, OR)
North Lakes Academy Upper School (Forest Lake, MN)
North Lamar H S (Paris, TX)
North Laurel Early Learning Academy (Laurel, DE)
North Laurel High School (London, KY)
North Laurel Middle School (London, KY)
North Lawndale Prep Chtr - Christiana (Chicago, IL)
North Lawndale Prep Chtr-Collins (Chicago, IL)
North Lawrence Career Center (Bedford, IN)
North Lenoir High (La Grange, NC)
North Lewis Elementary School (New Iberia, LA)
North Liberty (Morganton, NC)
North Lincoln High (Lincolnton, NC)
North Lincoln Middle (Denver, NC)
North Little Rock Center Of Excellence (North Little Rock, AR)
North Little Rock High School (North Little Rock, AR)
North Love Christian (Rockford, IL)
North Mac High School (Virden, IL)
North Mahaska Jr-Sr High School (New Sharon, IA)
North Marion High School (Aurora, OR)
North Marion High School (Citra, FL)
North Marion High School (Farmington, WV)
North Marion Intermediate School (Aurora, OR)
North Mason Homelink Program (Belfair, WA)
North Mason Online (Belfair, WA)
North Mason Senior High School (Belfair, WA)
North Mecklenburg High School (Huntersville, NC)
North Medford High School (Medford, OR)
North Mercer Elem. (Mercer, MO)
North Mesquite H S (Mesquite, TX)
North Metro Flex Academy (North Saint Paul, MN)
North Miami Beach Senior High (North Miami Beach, FL)
North Miami Elementary School (North Miami, FL)
North Miami Middle/High School (Denver, IN)
North Miami Senior High School (North Miami, FL)
North Mianus School (Riverside, CT)
North Middle School - 35 (Rapid City, SD)
North Middle School (Kingsport, TN)
North Middle School (Lenoir City, TN)
North Middle School (Radcliff, KY)
North Middle/High (North, SC)
North Middlesex Regional (Townsend, MA)
North Mobile County Middle School (Axis, AL)
North Montco Tech Career Center (Lansdale, PA)
North Monterey County High (Castroville, CA)
North Montgomery High School (Crawfordsville, IN)
North Moore High (Robbins, NC)
North Murray High School (Chatsworth, GA)
North Muskegon High School (Muskegon, MI)
North Muskegon Middle School (Muskegon, MI)
