4122 - Eagle Ridge Academy - Is (Minnetonka, MN)
Ecse Community (Rochester, MN)
Ecse Program (New Brighton, MN)
Ector H S (Ector, TX)
Ed Donaldson Education Center (Kelseyville, CA)
Ed Venture Charter School (Lantana, FL)
Edahow Elementary School (Pocatello, ID)
Edc Academy Of Excellence (Miami, FL)
Edcouch-Elsa H S (Elsa, TX)
Edcouch-Elsa H S Academy (Elsa, TX)
Edcsd (Englewood, CO)
Eddie Bernice Johnson El (Dallas, TX)
Eddie Finley Sr J H (Waxahachie, TX)
Eddington School (Eddington, ME)
Eddy Elementary (Brewster, MA)
Eddyville Charter School (Eddyville, OR)
Eddyville-Blakesburg- Fremont Jr/Sr High (Eddyville, IA)
Eden Area Rop (Hayward, CA)
Eden Area Technical Center (Ashville, AL)
Eden Christian Academy (Pittsburgh, PA)
Eden Cisd (Eden, TX)
Eden Elementary (Eden, WI)
Eden Hall Upper El Sch (Gibsonia, PA)
Eden Middle & High School (Eden, NY)
Eden Park Elementary School (Immokalee, FL)
Eden Prairie Online (Eden Prairie, MN)
Eden Prairie Senior High (Eden Prairie, MN)
Eden Valley Elementary (Eden Valley, MN)
Eden Valley Secondary (Eden Valley, MN)
Eden Valley-Watkins Alp (Eden Valley, MN)
Eden-Fairview Accelerated (San Angelo, TX)
Edenwald School (Pleasantville, NY)
Edgar Elementary (Edgar, WI)
Edgar High (Edgar, WI)
Edgar L Miller Elementary School (Merrillville, IN)
Edgar Murray Elem. (St Clair, MO)
Edge High School - Himmel Park (Tucson, AZ)
Edge High School - Northwest (Tucson, AZ)
Edge Virtual School (Weumpka, AL)
Edgebrook Elem School (Chicago, IL)
Edgebrook Elem School (Mchenry, IL)
Edgecomb Eddy School (Edgecomb, ME)
Edgeley High School (Edgeley, ND)
Edgemere International School (El Paso, TX)
Edgemont Elementary (Moreno Valley, CA)
Edgemont High School - 01 (Edgemont, SD)
Edgemont Junior-Senior High School (Scarsdale, NY)
Edgemont Primary (Covington, VA)
Edgerton Elem (Edgerton, KS)
Edgerton Elementary (Maplewood, MN)
Edgerton Elementary School (Edgerton, OH)
Edgerton High (Edgerton, WI)
Edgerton High School (Edgerton, OH)
Edgerton School (Kalispell, MT)
Edgerton Secondary (Edgerton, MN)
Edgewater Elementary (Marysville, CA)
Edgewater High (Orlando, FL)
Edgewood Academy (Elmore, AL)
Edgewood Center For Children & Families (San Francisco, CA)
Edgewood Cmty Developmental (Goldsboro, NC)
Edgewood El (Houston, TX)
Edgewood El Sch (Folsom, PA)
Edgewood Elem School (Woodridge, IL)
Edgewood Elementary (Edgewood, MD)
Edgewood Elementary (Oak Creek, WI)
Edgewood Elementary School (Homewood, AL)
Edgewood Elementary School (Michigan City, IN)
Edgewood H S (Edgewood, TX)
Edgewood High (Edgewood, MD)
Edgewood High (West Covina, CA)
Edgewood High School (Ashtabula, OH)
Edgewood High School (Ellettsville, IN)
Edgewood High School (Trenton, OH)
Edgewood High School Of The Sacred Heart (Madison, WI)
Edgewood Jr/Sr High School (Merritt Island, FL)
Edgewood Middle School (Warsaw, IN)
Edgewood Ranch Academy (Orlando, FL)
Edgewood-Colesburg High School (Edgewood, IA)
Edina Senior High (Edina, MN)
Edinburg Alternative Education Academy (Edinburg, TX)
Edinburg H S (Edinburg, TX)
Edinburg High School (Edinburg, IL)
Edinburg Jr High School (Edinburg, IL)
Edinburg North H S (Edinburg, TX)
Edinburgh Community High School (Edinburgh, IN)
Edison (Ferndale, MI)
Edison (Tacoma, WA)
Edison (Thomas A.) Charter School (Wilmington, DE)
Edison Academics (Bradenton, FL)
Edison Academy (Brockton, MA)
Edison Career And Technology High School (Rochester, NY)
Edison Elem Regional Gifted Cntr (Chicago, IL)
Edison Elementary School (Fort Gratiot, MI)
Edison Elementary School (Minot, ND)
Edison Elementary School (Willoughby, OH)
Edison H S (San Antonio, TX)
Edison High (Alexandria, VA)
Edison High (Fresno, CA)
Edison High (Huntington Beach, CA)
Edison High (Stockton, CA)
Edison High School (Edison, NJ)
Edison High School (Milan, OH)
Edison High School (Portland, OR)
Edison High School (Richmond, OH)
Edison HS/Fareira Skills (Philadelphia, PA)
Edison Junior-Senior High School (Yoder, CO)
Edison Middle (Janesville, WI)
Edison Middle School (Massillon, OH)
Edison Middle School (Parkersburg, WV)
Edison Park Creative And Expressive Arts School (Fort Myers, FL)
Edison Prep (Yoder, CO)
Edison Preparatory Ms (Tulsa, OK)
Edison School (Bridgeport, CT)
Edison School (Salt Lake City, UT)
Edison School Of The Arts 47 (Indianapolis, IN)
Edison Senior High (Minneapolis, MN)
Edisto High (Cordova, SC)
Edith & Ethel Carman El (San Juan, TX)
Edith A. Bogert Elementary School (Upper Saddle River, NJ)
Edith C Baker (Chestnut Hill, MA)
Edith E. Mackrille School (West Haven, CT)
Edith I. Starke Elementary School (Deland, FL)
Edith M. Griebling Elementary School (Farmingdale, NJ)
Edkey Inc. - Sequoia Deaf School (Mesa, AZ)
Edmeston Central School (Edmeston, NY)
Edmonds Career Access Program (Lynnwood, WA)
Edmonds Elearning Academy (Lynnwood, WA)
Edmonds Heights K-12 (Edmonds, WA)
Edmonds Woodway High School (Edmonds, WA)
Edmondson-Westside High (Baltimore, MD)
Edmonson County High School (Brownsville, KY)
Edmore High School (Edmore, ND)
Edmund Burke Academy (Waynesboro, GA)
Edmund Burke School (Washington, DC)
Edmund Hmieleski Early Childhood Center (Perth Amboy, NJ)
Edmundo Del Valle Cruz (Rio Grande, PR)
Edmunds Central High School - 01 (Roscoe, SD)
Edna Alternative (Edna, TX)
Edna Christian Academy (Edna, TX)
Edna Drinkwater School (Northport, ME)
Edna H S (Edna, TX)
Edna Keith Elem School (Joliet, IL)
Edna Mahan Correctional Facility For Women (Clinton, NJ)
Edna Rollins Elem School (Aurora, IL)
Edna Rowe El (Dallas, TX)
Ednovate - Brio College Prep (Los Angeles, CA)
Ednovate - East College Prep (Los Angeles, CA)
Ednovate - Esperanza College Prep (East Los Angeles, CA)
Ednovate - Legacy College Prep. (Santa Ana, CA)
Ednovate - Usc Hybrid High College Prep (Los Angeles, CA)
Edon High School (Edon, OH)
Edop Dcals Extended Day (Rosemount, MN)
Edoptions HS Learning Center (Peoria, AZ)
Edoptions Preparatory Academy (Nogales, AZ)
Edsel Ford High School (Dearborn, MI)
Eduardo Garcia Carrillo (Canovanas, PR)
Eduardo J. Saldana (Carolina, PR)
Eduardo Mata Montessori School (Dallas, TX)
Educ For Employment Sys 330 (Champaign, IL)
Educacion Bilingue Luis Munoz Iglesias (Cidra, PR)
Education & Integration Services (Sioux Falls, SD)
Education And Activity Center (Fremont, MI)
Education Center International Academy 1 (Sunnyvale, TX)
Education Dev Center (Gallup, NM)
Education Imagine Academy (Wichita, KS)
Education Place (Wellington, FL)
Educational Daycare (Jacksonville, IL)
Educational Harbor (Palmetto, FL)
Educational Models For Learning ? Arizona (Tempe, AZ)
Educational Opportunity Center (Clarkston, WA)
Educational Opportunity Center (Yuma, AZ)
Educational Opportunity Center Reengagement (Clarkston, WA)
Educational Partnership High (Long Beach, CA)
Educational Services Program-East (West Palm Beach, FL)
Educational Services Program-West (Belle Glade, FL)
Educational Training Center (Needles, CA)
Educative Center El Redentor (Orlando, FL)
Educators Inc Private Christian Schools (Rockledge, FL)
Eduprize School (Queen Creek, AZ)
Eduprize School Gilbert (Gilbert, AZ)
Edvisions Off Campus School (Henderson, MN)
Edward A Reynolds West Side High School (New York, NY)
Edward Bain School - Creative Arts (Kenosha, WI)
Edward Bain School - Dual Language (Kenosha, WI)
Edward Bell Career Technical Center (Camp Hill, AL)
Edward C. Merlo Institute Of Environmental Studies (Stockton, CA)
Edward C. Reed High School (Sparks, NV)
Edward F. Leddy Preschool (Taunton, MA)
Edward Fenn School (Gorham, NH)
Edward H. White High School (Jacksonville, FL)
Edward Hynes Charter School (New Orleans, LA)
Edward J Arthur Elementary School (Athens, NY)
Edward J Sam Accelerated School Of Lafayette (Lafayette, LA)
Edward L. Pine Middle School (Reno, NV)
Edward Little High School (Auburn, ME)
Edward M. Kennedy Academy For Health Careers (Horace Mann (Boston, MA)
Edward Ortiz Middle (Santa Fe, NM)
Edward P. Duplex (Wheatland, CA)
Edward R Murrow High School (Brooklyn, NY)
Edward R. Roybal Learning Center (Los Angeles, CA)
Edwards Academy Christian Institute Of Learning (Baltimore, MD)
Edwards County High School (Albion, IL)
Edwards Elbert Es (Las Vegas, NV)
Edwards Elementary School (Ames, IA)
Edwards-Knox Elementary School (Hermon, NY)
Edwards-Knox Junior-Senior High School (Hermon, NY)
Edwardsburg Alternative Learning Center (Edwardsburg, MI)
Edwardsburg High School (Edwardsburg, MI)
Edwardsburg Primary School (Edwardsburg, MI)
Edwardsville High School (Edwardsville, IL)
Edwin A Anderson Elementary (Wilmington, NC)
Edwin A Lee Elementary School (Springfield, IL)
Edwin F Williams Int (Perryton, TX)
Edwin Loe Elementary School (New Town, ND)
Edwin M Holt Elementary (Burlington, NC)
Edwin Markham Elementary (Vacaville, CA)
Edwin Markham Middle (Placerville, CA)
Edwin R Opstad Elementary (North Bend, WA)
Ee Knight Elementary School (Elsie, MI)
Eek School (Eek, AK)
Eel River Community (Fortuna, CA)
Ef Academy International Boarding School (Thornwood, NY)
Effie Kokrine Charter School (Fairbanks, AK)
Effingham County High School (Springfield, GA)
Effingham County Middle School (Guyton, GA)
Effingham High School (Effingham, IL)
Efland Cheeks Elementary (Efland, NC)
Egan Elementary School (Egan, LA)
Egeler Correctional Facility (Jackson, MI)
Egg Harbor Township High School (Egg Harbor Township, NJ)
Eggert Road Elementary School (Orchard Park, NY)
Egyptian Sr High School (Tamms, IL)
Ehove Career Center (Milan, OH)
Ehrhart School (Beaumont, TX)
Eight Mile High School (Trenton, ND)
Eighth Street Elementary School (Ocala, FL)
Eighty-First Street Ece Center (Shreveport, LA)
Einstein Charter High School At Sarah Towles Reed (New Orleans, LA)
Einstein Charter Middle Sch At Sarah Towles Reed (New Orleans, LA)
Einstein Charter School At Village De L'Est (New Orleans, LA)
Einstein Montessori Academy (Cocoa, FL)
Eisek Hatorah D'Rachmistrivka (Brooklyn, NY)
Eisenberg (Harry O.) Elementary School (New Castle, DE)
Eisenhower Academy (Joliet, IL)
Eisenhower El Sch (Indiana, PA)
Eisenhower El Sch (Russell, PA)
Eisenhower Elem (Great Bend, KS)
Eisenhower Elem (Independence, KS)
Eisenhower Elementary (Mcpherson, KS)
Eisenhower Elementary School (Boulder, CO)
Eisenhower Elementary School (Clearwater, FL)
Eisenhower Elementary School (Davenport, IA)
Eisenhower Elementary School (Dubuque, IA)
Eisenhower Elementary School (Fraser, MI)
Eisenhower Elementary School (North Platte, NE)
Eisenhower H S (Houston, TX)
Eisenhower High School (Decatur, IL)
Eisenhower High School (Goddard, KS)
Eisenhower High School (Shelby Township, MI)
Eisenhower High School (Yakima, WA)
Eisenhower HS (Lawton, OK)
Eisenhower M/HS (Russell, PA)
Eisenhower Middle School (Gibsonton, FL)
Eisenhower Middle/High (New Berlin, WI)
Eisenhower School (South Holland, IL)
Eisenhower Senior High (Rialto, CA)
El #31 (Humble, TX)
El Bethel Christian Academy (Orlando, FL)
El Cajon Valley High (El Cajon, CA)
El Camino Fundamental High (Sacramento, CA)
El Camino High (Continuation) (Whittier, CA)
El Camino High (Oceanside, CA)
El Camino High (Rohnert Park, CA)
El Camino High (South San Francisco, CA)
El Camino High (Ventura, CA)
El Camino Real Academy (Albuquerque, NM)
El Camino Real Charter High (Woodland Hills, CA)
El Camino Real Continuation High (Placentia, CA)
El Campo H S (El Campo, TX)
El Capitan Elementary (Delhi, CA)
El Capitan High (Lakeside, CA)
El Capitan High (Merced, CA)
El Capitan Public School (Colorado City, AZ)
El Carmelo Elementary (Palo Alto, CA)
El Centro Jr./Sr. High (Sacramento, CA)
El Cerrito High (El Cerrito, CA)
El Cerrito Middle (Corona, CA)
El Colegio Charter School (Minneapolis, MN)
El Daep (Missouri City, TX)
El Diamante High (Visalia, CA)
El Dorado Christian School (El Dorado Springs, MO)
El Dorado H S (El Paso, TX)
El Dorado High (El Dorado, KS)
El Dorado High (Placentia, CA)
El Dorado High (Placerville, CA)
El Dorado High School (El Dorado, AR)
El Dorado Springs High (El Dorado Springs, MO)
El Gabilan Elementary (Salinas, CA)
El Magnet At Reagan El (Odessa, TX)
El Modena High (Orange, CA)
El Molino High (Forestville, CA)
El Monte High (El Monte, CA)
El Monte Union High School Community Day (El Monte, CA)
El Paso Academy (El Paso, TX)
El Paso Academy West (El Paso, TX)
El Paso Adventist Junior Academy (El Paso, TX)
El Paso Bridges Academy (El Paso, TX)
El Paso Classical Academy (El Paso, TX)
El Paso Elem (Derby, KS)
El Paso H S (El Paso, TX)
El Paso-Gridley High School (El Paso, IL)
El Puente (Salinas, CA)
El Puente Academy For Peace And Justice (Brooklyn, NY)
El Puente High (Firebaugh, CA)
El Rancho High (Pico Rivera, CA)
El Reno HS (El Reno, OK)
El Segundo High (El Segundo, CA)
El Sereno Alternative Education (Fair Oaks, CA)
El Sereno Middle (Los Angeles, CA)
El Sinai Christian Academy (Palm Bay, FL)
El Tejon Elementary (Lebec, CA)
El Toro High (Lake Forest, CA)
El Verano Elementary (Sonoma, CA)
Eladio R Martinez Learning Center (Dallas, TX)
Eladio Tirado Lopez (Aguada, PR)
Elaine S Schlather Int (Cibolo, TX)
Elayn Hunt Correctional Center (St. Gabriel, LA)
Elba Area Vocational School (Elba, AL)
Elba Elementary School (Elba, AL)
Elba High School (Elba, AL)
Elba Junior-Senior High School (Elba, NY)
Elba Secondary School (Elba, NE)
Elbert County High School (Elberton, GA)
Elbert Elementary School (Elbert, CO)
Elbert Junior-Senior High School (Elbert, CO)
Elberta Elementary School (Elberta, AL)
Elberta High School (Elberta, AL)
Elcho High (Elcho, WI)
Elder Creek Elementary (Sacramento, CA)
Elder Grove School (Billings, MT)
Elder Middle (Fort Worth, TX)
Eldersburg Elementary (Sykesville, MD)
Elderton El Sch (Elderton, PA)
Eldon Career Ctr. (Eldon, MO)
Eldon High (Eldon, MO)
Eldora-New Providence Elementary School (Eldora, IA)
Eldorado El (Eldorado, TX)
Eldorado H S (Eldorado, TX)
Eldorado High (Albuquerque, NM)
Eldorado High School (Eldorado, IL)
Eldorado HS (Las Vegas, NV)
Eldred Junior-Senior High School (Eldred, NY)
Eleanor Briggs School (Warwick, RI)
Eleanor Gerson School (Cleveland, OH)
Eleanor H. Miller School (Palatka, FL)
Eleanor J. Toll Middle (Glendale, CA)
Eleanor Roosevelt Community Learning Center (Visalia, CA)
Eleanor Roosevelt High (Eastvale, CA)
Eleanor Roosevelt High (Greenbelt, MD)
Eleanor Roosevelt High School (New York, NY)
Eleanor S. Rice Elementary (Greenwood, SC)
Eleanor Skillen School 34 (Indianapolis, IN)
Elearning Academy (Thibodaux, LA)
Electra Junior/Senior High (Electra, TX)
Elemental Ceferina Cordero (Isabela, PR)
Elemental Urbana (Vega Alta, PR)
Elemental Urbana Nueva (Lajas, PR)
Elementary Sch At Valparaiso (Valparaiso, NE)
Elementary School At Ceresco (Ceresco, NE)
Elementary School At Dwight (Dwight, NE)
Elementary School At Sumner (Sumner, NE)
Eleva-Strum High (Strum, WI)
Eleva-Strum Middle (Strum, WI)
Elevated Digital Learning Academy (South Lake Tahoe, CA)
Elevation Preparatory Academy (Sarasota, FL)
Elfers Christian School (New Port Richey, FL)
Elgin Academy (Elgin, IL)
Elgin Elementary School (Elgin, AZ)
Elgin H S (Elgin, TX)
Elgin High School (Elgin, IL)
Elgin High School (Elgin, NE)
Elgin High School (Elgin, OR)
Elgin High School (Marion, OH)
Elgin HS (Elgin, OK)
Elgin Middle School (Marion, OH)
Elgin-New Leipzig High School (Elgin, ND)
Eli Whitney School (Stratford, CT)
Eli Whitney Technical High School (Hamden, CT)
Eliada Academy (Asheville, NC)
Elida Elementary (Elida, OH)
Elida High (Elida, NM)
Elida High School (Elida, OH)
Elim Christian School (Crestwood, IL)
Elim Christian School (Houston, TX)
Elinor Lincoln Hickey Jr./Sr. High (Sacramento, CA)
Eliot Battle Elementary (Columbia, MO)
Eliot Es (Tulsa, OK)
Eliot-Hine Ms (Washington, DC)
Elisabeth Irwin High School (New York, NY)
Elise Middle (Robbins, NC)
Elite Academic Academy - Lucerne (Temecula, CA)
Elite Academic Academy - Mountain Empire (Temecula, CA)
Elite Academic Academy - Virtual Prep Lucerne (Lucerne Valley, CA)
Elite Academy (El Cajon, CA)
Elite Academy Corporation (Fredericksburg, VA)
Elite Academy School Of Excellence (Oakland Park, FL)
Elite Preparatory Academy (Orlando, FL)
Elite Public (Vallejo, CA)
Elite Scholars Academy School (Jonesboro, GA)
Elite Stem Pri Academy (Houston, TX)
Elitha Donner Elementary (Elk Grove, CA)
Elizabeth Andrews High School (Stone Mountain, GA)
Elizabeth Blackwell Elementary (Sammamish, WA)
Elizabeth City Middle (Elizabeth City, NC)
Elizabeth City Pasquotank Early College (Elizabeth City, NC)
Elizabeth Davis Middle (Chester, VA)
Elizabeth Delong School Of The Deaf (Orem, UT)
Elizabeth Eichelberger Elem Sch (Plainfield, IL)
Elizabeth Forward Shs (Elizabeth, PA)
Elizabeth Haddon School (Haddonfield, NJ)
Elizabeth High School - Frank J Cicarell Academy (Elizabeth, NJ)
Elizabeth High School (Elizabeth, CO)
Elizabeth High School (Elizabeth, LA)
Elizabeth Ide Elem School (Darien, IL)
Elizabeth Ives School For Special Children (North Haven, CT)
Elizabeth Learning Center (Cudahy, CA)
Elizabeth Page Elementary School (Springfield, OR)
Elizabeth Running Creek Preschool (Elizabeth, CO)
Elizabeth Seton High School (Bladensburg, MD)
Elizabeth Shelton School (Shelton, CT)
Elizabeth T. Hughbanks Elementary (Rialto, CA)
Elizabeth Tate Alt. High School (Iowa City, IA)
Elizabeth Ustach Middle (Modesto, CA)
Elizabethton Academy (Elizabethton, TN)
Elizabethton High School (Elizabethton, TN)
Elizabethtown Area Ms (Elizabethtown, PA)
Elizabethtown Area Shs (Elizabethtown, PA)
Elizabethtown High School (Elizabethtown, KY)
Elizabethtown Primary (Elizabethtown, NC)
Elk City HS (Elk City, OK)
Elk County Catholic High School (Saint Marys, PA)
Elk Creek (Crescent City, CA)
Elk Creek Elementary School (Pine, CO)
Elk Creek High (Elk Creek, CA)
Elk Creek School (Oxford, PA)
Elk Garden School (Elk Garden, WV)
Elk Grove Charter (Elk Grove, CA)
Elk Grove Elementary (Elk Grove, CA)
Elk Grove High (Elk Grove, CA)
Elk Grove High School (Elk Grove Village, IL)
Elk Hill Charlottesville School (Charlottesville, VA)
Elk Hill Harambee School (Goochland, VA)
Elk Hill Staunton School (Staunton, VA)
Elk Lake Jshs (Springville, PA)
Elk Mound High (Elk Mound, WI)
Elk Mountain High School - 04 (Dewey, SD)
Elk Mountain Virtual High School - 92 (Dewey, SD)
Elk Point-Jefferson High School - 01 (Elk Point, SD)
Elk Rapids High School (Elk Rapids, MI)
Elk River Senior High (Elk River, MN)
Elk Valley Christian School (Elkview, WV)
Elk Valley Elementary (Pioneer, TN)
Elk Valley High School (Longton, KS)
Elkhart Alternative Education (Elkhart, IN)
Elkhart Christian Academy (Elkhart, IN)
Elkhart H S (Elkhart, TX)
Elkhart High (Elkhart, KS)
Elkhart High School (Elkhart, IN)
Elkhart Lake High (Elkhart Lake, WI)
Elkhorn Area High (Elkhorn, WI)
Elkhorn City Elementary School (Elkhorn City, KY)
Elkhorn Crossing School (Georgetown, KY)
Elkhorn Grandview Middle School (Omaha, NE)
Elkhorn High School (Elkhorn, NE)
Elkhorn Middle School (Frankfort, KY)
Elkhorn North High School (Omaha, NE)
Elkhorn Options Virtual School (Elkhorn, WI)
Elkhorn South High School (Omaha, NE)
Elkhorn Valley Elementary Sch (Tilden, NE)
Elkhorn Valley High School (Tilden, NE)
Elkhorn Valley View Middle School (Elkhorn, NE)
Elkin High (Elkin, NC)
Elkin Middle (Elkin, NC)
Elkins Christian Academy (Elkins, WV)
Elkins High School (Elkins, AR)
Elkins High School (Elkins, WV)
Elkins Mountain School (Elkins, WV)
Elkmont High School (Elkmont, AL)
Elko High School (Elko, NV)
Elkton Charter School (Elkton, OR)
Elkton High (Elkton, MD)
Elkton High School - 01 (Elkton, SD)
Elkton Middle (Elkton, MD)
Ell-Saline Middle/High School (Brookville, KS)
Ella B. Vernetti School (Koyukuk, AK)
Ella Baker High School (Open Doors) (Renton, WA)
Ella Barkley High (Hamilton City, CA)
Ella C. Pittman Elementary School (Harvey, LA)
Ella Canavan Elementary School (Medina, OH)
Ella Elementary (Olivehurst, CA)
Ella G Clarke Elementary School (Lakewood, NJ)
Ella Schorlemmer El (Victoria, TX)
Ella T. Grasso Technical High School (Groton, CT)
Ellen Fletcher Middle (Palo Alto, CA)
Ellen Hopkins Elementary (Moorhead, MN)
Ellen Ochoa Prep Academy (Pico Rivera, CA)
Ellen Ochoa Stem Academy At Ben Miliam El (Grand Prairie, TX)
Ellen St Campus (Fenton, MI)
Ellen Woodside Elementary (Pelzer, SC)
Ellendale Elementary (Taylorsville, NC)
Ellendale High School (Ellendale, ND)
Ellender Memorial High School (Houma, LA)
Ellensburg Christian School (Ellensburg, WA)
Ellensburg High School (Ellensburg, WA)
Ellenville High School (Ellenville, NY)
Ellenville Middle School (Ellenville, NY)
Ellerth E. Larson Elementary (Lodi, CA)
Ellet Community Learning Center (Akron, OH)
Ellicott Elementary School (Ellicott, CO)
Ellicott Senior High School (Ellicott, CO)
Ellicottville Middle School High School (Ellicottville, NY)
Ellijay Elementary School (Ellijay, GA)
Ellington (Duke) High (Continuation) (Los Angeles, CA)
Ellington High School (Ellington, CT)
Ellington High School (Ellington, MO)
Ellinwood High (Ellinwood, KS)
Elliott (William F) Elementary (Artesia, CA)
Elliott County High School (Sandy Hook, KY)
Elliott County Intermediate School (Sandy Hook, KY)
Elliott El (Mckinney, TX)
Elliott Elementary School (Holt, MI)
Elliott Institute (La Crescenta, CA)
Ellis Elem School (Belleville, IL)
Ellis Elem. (Plattsburg, MO)
Ellis Jr/Sr High (Ellis, KS)
Ellis Middle (Austin, MN)
Ellis School (Pittsburgh, PA)
Ellsworth Community School (Ellsworth, MI)
Ellsworth Elementary School (Queen Creek, AZ)
Ellsworth High (Ellsworth, KS)
Ellsworth High (Ellsworth, WI)
Ellsworth High School (Ellsworth, ME)
Ellsworth Secondary (Ellsworth, MN)
Ellwood Christian Academy (Selma, AL)
Elm City College Preparatory School (New Haven, CT)
Elm City Middle (Elm City, NC)
Elm Creek Elementary (Maple Grove, MN)
Elm Creek High School (Elm Creek, NE)
Elm High (Fresno, CA)
Elm Hill School (Springfield, VT)
Elm Lawn Elementary (Middleton, WI)
Elm Park Community (Worcester, MA)
Elm Street Elementary (Oxnard, CA)
Elm Street Elementary School (Newnan, GA)
Elm Street Elementary School (Painesville, OH)
Elm Tree Academy (Wadena, MN)
Elm Tree Elementary School (Bentonville, AR)
Elm Tree Elementary School (Corona, NY)
Elma High School (Elma, WA)
Elmendorf Christian School (Mountain Lake, MN)
Elmer A Knopf Learning Center (Flint, MI)
Elmer C Watson H S (Fort Worth, TX)
Elmer H Franzen Intermediate Sch (Itasca, IL)
Elmer L Meyers Jshs (Wilkes Barre, PA)
Elmhurst Elementary School (Toledo, OH)
Elmira Elementary School (Elmira, OR)
Elmira High School (Elmira, NY)
Elmira High School (Elmira, OR)
Elmira Psychiatric Center (Elmira, NY)
Elmont Memorial High School (Elmont, NY)
Elmore City Jhs (Elmore City, OK)
Elmore City-Pernell HS (Elmore City, OK)
Elmore County High School (Eclectic, AL)
Elmore County Technical Center (Wetumpka, AL)
Elmwood Baptist Academy (Brighton, CO)
Elmwood Elem School (Zion, IL)
Elmwood Elementary (Elmwood, WI)
Elmwood Elementary (Stockton, CA)
Elmwood Elementary School (Garfield Heights, OH)
Elmwood Elementary School (Lansing, MI)
Elmwood High (Elmwood, WI)
Elmwood High School (Bloomdale, OH)
Elmwood High School (Elmwood, IL)
Elmwood Junior High School (Elmwood, IL)
Elmwood Middle (Elmwood, WI)
Elmwood Middle School (Bloomdale, OH)
Elmwood Park High School (Elmwood Park, IL)
Elmwood Primary Learning Center (Peru, IN)
Elmwood Village Charter School Days Park (Buffalo, NY)
Elmwood-Murdock Elem School (Elmwood, NE)
Elmwood-Murdock Jr/Sr High Sch (Murdock, NE)
Eloisa Pascual (Caguas, PR)
Elon Elem (Madison Heights, VA)
Elrod El (San Antonio, TX)
Elsanor School (Robertsdale, AL)
Elsberry High (Elsberry, MO)
Elsie Allen High (Santa Rosa, CA)
Elsie C Johnson Elem Sch (Hanover Park, IL)
Elsie Wadsworth Elementary School (Griffith, IN)
Elsie Whitlow Stokes Community Freedom Pcs - Brookland (Washington, DC)
Elsik H S (Houston, TX)
Elsinboro Township School (Salem, NJ)
Elsinore Elementary (Lake Elsinore, CA)
Elsinore High (Wildomar, CA)
Elsinore Middle (Lake Elsinore, CA)
Elton Gregory Middle School (Redmond, OR)
Elton High School (Elton, LA)
Elva Lynch Elementary School (Lapeer, MI)
Elverado High School (Elkville, IL)
Elverado Intermediate School (Vergennes, IL)
Elvin Hill Elementary School (Columbiana, AL)
Elvira M. Colon Negron (Santa Isabel, PR)
Elvira Ruperto Quiles (Rio Canas Abajo) (Mayaguez, PR)
Elvis J Ballew H S (Pharr, TX)
Elwood High School (Elwood, NE)
Elwood Intermediate School (Elwood, IN)
Elwood J. Keema High (Sacramento, CA)
Elwood Jr-Sr High School (Elwood, IN)
Elwood/John Glenn High School (Elwood, NY)
Elydale Middle (Ewing, VA)
Elyria Christian School (Mcpherson, KS)
Elyria High School (Elyria, OH)
Elysian Charter School Of Hoboken (Hoboken, NJ)
Elysian Fields H S (Elysian Fields, TX)
Elysian Fields Middle (Elysian Fields, TX)
Eman Schools (Fishers, IN)
Emanuel County Institute (Twin City, GA)
Embassy Innovation Academy (Farmville, NC)
Emelita Street Elementary (Encino, CA)
Emerado Elementary School (Emerado, ND)
Emerald Coast Career Institute N (Crestview, FL)
Emerald Coast Technical College (Defuniak Springs, FL)
Emerald High (Greenwood, SC)
Emerald Ridge High School (Puyallup, WA)
Emerald School Of Excellence (Charlotte, NC)
Emerge Private School (Bozeman, MT)
Emerick Elem (Purcellville, VA)
Emerson Academy (Owensboro, KY)
Emerson Alternative Ed. (HS) (Oklahoma City, OK)
Emerson El (Houston, TX)
Emerson Elementary (Madison, WI)
Emerson Elementary (Pasco, WA)
Emerson Elementary (Snohomish, WA)
Emerson H S (Mckinney, TX)
Emerson High School (Emerson, AR)
Emerson High School (Idaho Falls, ID)
Emerson High School (Kirkland, WA)
Emerson Jr Sr High (Emerson, NJ)
Emerson K-12 (Kirkland, WA)
Emerson Learning Center (Hsap) (Marion, IA)
Emerson Middle School (Union City, NJ)
Emerson School (Portland, OR)
Emerson School Of Hospitality (Buffalo, NY)
Emerson Waldorf School (Chapel Hill, NC)
Emerson-Hubbard High School (Emerson, NE)
Emery El (Katy, TX)
Emery High (Castle Dale, UT)
Emery Park Elementary (Alhambra, CA)
Emery Secondary (Emeryville, CA)
Emge Junior High School (Belleville, IL)
Emil E. Holt Sr. High (Wentzville, MO)
Emilio R. Delgado (Corozal, PR)
Emilio Sanchez American School (Naples, FL)
Emily C. Reynolds Middle School (Hamilton, NJ)
Emily Dickinson Elementary (Redmond, WA)
Emily Dickinson School (Bozeman, MT)
Emily Griffith High School (Denver, CO)
Emily Meschter Early Learning Center (Tucson, AZ)
Eminence High (Eminence, MO)
Eminence High School (Eminence, KY)
Eminence Jr-Sr High School (Eminence, IN)
Emma C Chase School (Wurtsboro, NY)
Emma G. Whiteknact School (East Providence, RI)
Emma Hart Willard School (Berlin, CT)
Emma Lazarus High School (New York, NY)
Emma Lee Broady Academy (Graham, NC)
Emma Love Hardee Elementary (Fernandina Beach, FL)
