500 Reach (Kansas City, KS)
Resiliency Preparatory Academy (Fall River, MA)
Resolution Ranch Academy (Cameron, TX)
Resource Center - 11 (Mission, SD)
Resource Link Charter School (Coos Bay, OR)
Respect Academy (Denver, CO)
Restart Leadership Academy (Monroe, WA)
Restoration Academy (Fairfield, AL)
Restoration Ministries Christian Academy (Indianola, MS)
Restore Program (Saint Francis, MN)
Restoring Hope Christian Academy (Hendersonville, TN)
Resurrection Catholic School - High School Campus (Pascagoula, MS)
Resurrection Christian School (Loveland, CO)
Resurrection College Prep High School (Chicago, IL)
Retta Brown Elementary School (El Dorado, AR)
Reuben Elementary (Newberry, SC)
Reuther Central High (Kenosha, WI)
Reuther Middle School (Rochester Hills, MI)
Rev. Dr. Ercel F. Webb School (Jersey City, NJ)
Rev. Henry E. Baker Sr. Interm. School (Winchester, KY)
Revelation School Of Florida(Now Dade Prep Academy (Miami, FL)
Revere High (Revere, MA)
Revere High School (Richfield, OH)
Revere Junior-Senior High School (Ovid, CO)
Revilla Jr/Sr High School (Ketchikan, AK)
Revival Fire Christian Academy (Longwood, FL)
Revive Alternative High School (Raymond, IL)
Reviver Academy (Miami, FL)
Revolution School (Philadelphia, PA)
Reydon Es (Reydon, OK)
Reydon HS (Reydon, OK)
Reyes Maria Ruiz Leadership Academy (Phoenix, AZ)
Reyn Franca (Denair, CA)
Reynolds Arthur Academy (Troutdale, OR)
Reynolds Elementary School (Toledo, OH)
Reynolds Elementary School (Tucson, AZ)
Reynolds High (Asheville, NC)
Reynolds High School (Troutdale, OR)
Reynolds Jshs (Greenville, PA)
Reynolds Learning Academy (Fairview, OR)
Reynolds Middle School (Fairview, OR)
Reynolds Mountain Christian Acadeny (Asheville, NC)
Reynolds Ms (Lancaster, PA)
Reynoldsburg Health Sciences & Human Services Stem Academy (Reynoldsburg, OH)
Reynoldsburg High School Estem (Reynoldsburg, OH)
Reynoldsburg HS Business Education Leadership & Law Academy (Reynoldsburg, OH)
Reynoldsburg HS Encore: Arts Communication & Design Academy (Reynoldsburg, OH)
Rfk Academy School (Springfield, MA)
Rfk Don Watson Academy (Lancaster, MA)
Rfm Christian Academy (Cocoa, FL)
Rfm Christian Academy (Melbourne, FL)
Rfm Christian Academy Coco2 (Cocoa, FL)
Rgv Youth Recovery Home (San Benito, TX)
Rham High School (Hebron, CT)
Rhea County Academy (Dayton, TN)
Rhea County High School (Evensville, TN)
Rhea Valley Elem (Meadowview, VA)
Rhein Benninghoven Elem (Shawnee Mission, KS)
Rhem Word Christia Academy (Lauderdale Lakes, FL)
Rhinebeck Senior High School (Rhinebeck, NY)
Rhinelander High (Rhinelander, WI)
Rhoades Elementary School (Indianapolis, IN)
Rhodes College And Career Academy (Cleveland, OH)
Rhodes E Washington Sch (Philadelphia, PA)
Rhodes School Of Environmental Studies (Cleveland, OH)
Rhodora J Donahue Academy (Ave Maria, FL)
Rialto High (Rialto, CA)
Rib Lake Elementary (Rib Lake, WI)
Rib Lake High (Rib Lake, WI)
Ribet Academy (Los Angeles, CA)
Ricardo Arroyo Laracuente (Dorado, PR)
Ricardo Estrada Middle (El Paso, TX)
Rice Avenue Ms (Girard, PA)
Rice Challenge Academy (Eagle Lake, TX)
Rice Childrens Center (Evanston, IL)
Rice El Sch (Mountain Top, PA)
Rice H S (Altair, TX)
Rice H S (Rice, TX)
Rice Intermediate/Middle School (Rice, TX)
Rice Lake High (Rice Lake, WI)
Rice Sch /La Escuela Rice (Houston, TX)
Riceville High School (Riceville, IA)
Rich Acres Elem (Martinsville, VA)
Rich East Campus High School (Park Forest, IL)
Rich High (Randolph, UT)
Rich Hill High (Rich Hill, MO)
Rich Hill Youth Dev. Ctr. (Rich Hill, MO)
Rich Preschool (Randolph, UT)
Rich South Campus High School (Richton Park, IL)
Rich Township High School (Olympia Fields, IL)
Rich Township Star Academy (Richton Park, IL)
Richard A. Alonzo Community Day (Los Angeles, CA)
Richard Allen Preparatory (Dayton, OH)
Richard Avenue Elementary School (Grove City, OH)
Richard Bowling Elem (Norfolk, VA)
Richard Carroll Elementary (Bamberg, SC)
Richard Crane Elementary (Rohnert Park, CA)
Richard D. Browning High (Long Beach, CA)
Richard H Hungerford School (The) (Staten Island, NY)
Richard H O'Rourke Middle School (Burnt Hills, NY)
Richard H. Gettys Middle (Easley, SC)
Richard H. Lewis Alternative (Clearlake, CA)
Richard Hardy Memorial School (South Pittsburg, TN)
Richard Henry Dana Elementary (Dana Point, CA)
Richard Henry Dana Middle (Hawthorne, CA)
Richard J Lee El (Dallas, TX)
Richard L Johnson Early Educ Cntr (Columbus, IN)
Richard L. Sanders School (Pinellas Park, FL)
Richard Maghakian Memorial School (Brookline, NH)
Richard Mann Elementary School (Walworth, NY)
Richard Mckenna Charter School - Online (Mountain Home, ID)
Richard Mckenna Charter School - Online Alternative (Mountain Home, ID)
Richard Mckenna Charter School - Onsite (Mountain Home, ID)
Richard Milburn Academy (Daytona Beach, FL)
Richard Milburn Academy Amarillo (Amarillo, TX)
Richard Milburn Academy Corpus Christi (Corpus Christi, TX)
Richard Milburn Academy Fort Worth (Fort Worth, TX)
Richard Milburn Academy Houston (Suburban) (Houston, TX)
Richard Milburn Academy Lubbock (Lubbock, TX)
Richard Milburn Academy Midland South (Midland, TX)
Richard Milburn Academy Odessa (Odessa, TX)
Richard Milburn Academy Pasadena (Pasadena, TX)
Richard Milburn Alter H S (Killeen) (Killeen, TX)
Richard Montgomery High (Rockville, MD)
Richard O Jacobson Technical High School At Seminole (Seminole, FL)
Richard R Green High School Of Teaching (New York, NY)
Richard Riordan Primary Center (Los Angeles, CA)
Richard Simpson Elem. (Arnold, MO)
Richard T. Yates Elem (Newport News, VA)
Richard Winn Academy (Winnsboro, SC)
Richard Wright Pcs For Journalism And Media Arts (Washington, DC)
Richard Yoakley School (Knoxville, TN)
Richards Career Academy HS (Chicago, IL)
Richards H S (Richards, TX)
Richards Middle School (Columbus, GA)
Richards Sch For Young Women Leaders (Austin, TX)
Richardson Elem. (Lee'S Summit, MO)
Richardson H S (Richardson, TX)
Richardson Heights El (Richardson, TX)
Richardson North J H (Richardson, TX)
Richardson Olmsted School (North Easton, MA)
Richardson Prep Hi Middle (San Bernardino, CA)
Richardson Sixth Grade Academy (Lake City, FL)
Richardton-Taylor High School (Richardton, ND)
Richbourg School (Crestview, FL)
Richey Academy (Houston, TX)
Richey High School (Richey, MT)
Richfield College Experience Prg (Richfield, MN)
Richfield Dual Language School (Richfield, MN)
Richfield High (Richfield, UT)
Richfield Middle (Richfield, MN)
Richfield Public School Academy Early Learning Center Pk2 (Flint, MI)
Richfield School (Richfield, ID)
Richfield Senior High (Richfield, MN)
Richfield Springs Elementary School (Richfield Springs, NY)
Richfield Springs Junior/Senior High School (Richfield Springs, NY)
Richford Junior/Senior High School (Richford, VT)
Richland Center High (Richland Center, WI)
Richland Collegiate H S Of Math Science Engineerin (Dallas, TX)
Richland Continuation High (Orange, CA)
Richland County High School (Olney, IL)
Richland El (Richardson, TX)
Richland El (Richland Hills, TX)
Richland El Sch (Gibsonia, PA)
Richland Elem School (Crest Hill, IL)
Richland Elementary (Lynnville, TN)
Richland H S (North Richland Hills, TX)
Richland High (Essex, MO)
Richland High (Richland, MO)
Richland High School (Richland, MS)
Richland High School (Richland, WA)
Richland HS (Johnstown, PA)
Richland Junior-Senior High School (Colfax, ND)
Richland Northeast High (Columbia, SC)
Richland One Charter Middle College (Columbia, SC)
Richland School (Lynnville, TN)
Richland Springs School (Richland Springs, TX)
Richland Two Charter High (Columbia, SC)
Richlands High (Richlands, NC)
Richlands High (Richlands, VA)
Richman Elementary (Fullerton, CA)
Richmond Academy (Richmond, VA)
Richmond Alternative (Richmond, VA)
Richmond Career Education & Employment (Charter School) (Richmond, VA)
Richmond Christian School (Chesterfield, VA)
Richmond Community High (Richmond, VA)
Richmond Community High School (Richmond, MI)
Richmond Consolidated (Richmond, MA)
Richmond County Technical Career Magnet School (Augusta, GA)
Richmond Early College High (Hamlet, NC)
Richmond Elementary (Susanville, CA)
Richmond Elementary School (Wyoming, RI)
Richmond Heights Elementary School (Richmond Heights, OH)
Richmond Heights High School (Richmond Heights, OH)
Richmond Heights Middle School (Miami, FL)
Richmond High (Richmond, CA)
Richmond High (Richmond, MO)
Richmond High School (Richmond, IN)
Richmond High School (Richmond, ME)
Richmond Hill High School (Richmond Hill, GA)
Richmond Hill High School (Richmond Hill, NY)
Richmond Hill Primary School (Richmond Hill, GA)
Richmond Hospital Ep. (Richmond, VA)
Richmond Middle (Richmond, MO)
Richmond Perrine Optimist (Miami, FL)
Richmond Senior High (Rockingham, NC)
Richmond Street Elementary (El Segundo, CA)
Richmond Technical Center (Richmond, VA)
Richmond-Burton High School (Richmond, IL)
Richneck Elem (Newport News, VA)
Richton High School (Richton, MS)
Richton Square School (Richton Park, IL)
Richwood High School (Craigsville, WV)
Richwood High School (Monroe, LA)
Richwood Junior High School (Monroe, LA)
Richwoods High School (Peoria, IL)
Rickard Elementary School (Williston, ND)
Rickover Jr High School (Sauk Village, IL)
Rickover Naval Academy High Schl (Chicago, IL)
Riddle High School (Riddle, OR)
Rider H S (Wichita Falls, TX)
Ridge Central Elem School (Chicago Ridge, IL)
Ridge Christian Academy (Davenport, FL)
Ridge Christian Academy (Summerville, SC)
Ridge Community High School (Davenport, FL)
Ridge Creek El (Humble, TX)
Ridge High School (Basking Ridge, NJ)
Ridge Hospital Alt. High School (Lexington, KY)
Ridge Manor Christian Academy (Ridge Manor, FL)
Ridge Meadows Elem. (Ellisville, MO)
Ridge Park Charter Academy (Grand Rapids, MI)
Ridge Point H S (Missouri City, TX)
Ridge Road Elementary School (North Haven, CT)
Ridge Road School (Horseheads, NY)
Ridge School (Salt Point, NY)
Ridge Spring-Monetta High (Monetta, SC)
Ridge Technical Academy (Winter Haven, FL)
Ridge Technical College (Winter Haven, FL)
Ridge Teen Parent Program (Winter Haven, FL)
Ridge View Academy Charter School (Watkins, CO)
Ridge View Elementary (Rockwood, TN)
Ridge View Elementary School (Kennewick, WA)
Ridge View High (Columbia, SC)
Ridge View High School (Holstein, IA)
Ridge-Brook Elementary School (Parma, OH)
Ridge/Ruxton School (Baltimore, MD)
Ridgedale Alternative School (Knoxville, TN)
Ridgedale Jr/Sr High School (Morral, OH)
Ridgefield Christian School (Jonesboro, AR)
Ridgefield High School (Ridgefield, CT)
Ridgefield High School (Ridgefield, WA)
Ridgefield Memorial High School (Ridgefield, NJ)
Ridgefield Park Jr Sr High School (Ridgefield Park, NJ)
Ridgeland High (Ridgeland, SC)
Ridgeland High School (Ridgeland, MS)
Ridgeland High School (Rossville, GA)
Ridgeland-Hardeeville High (Ridgeland, SC)
Ridgeline Academy Inc. (Phoenix, AZ)
Ridgeline High School (Millville, UT)
Ridgely Elem School (Springfield, IL)
Ridgemont El (Houston, TX)
Ridgemont High School (Mount Victory, OH)
Ridgetop El (Austin, TX)
Ridgeview Christian School (Stuarts Draft, VA)
Ridgeview Classical Charter Schools (Fort Collins, CO)
Ridgeview Elementary (Granite Bay, CA)
Ridgeview Elementary (Yakima, WA)
Ridgeview Elementary School (Ashtabula, OH)
Ridgeview Elementary School (Orange Park, FL)
Ridgeview Elementary School (Sparta, MI)
Ridgeview Group Home (Yakima, WA)
Ridgeview High (Bakersfield, CA)
Ridgeview High (Clintwood, VA)
Ridgeview High (Continuation) (Magalia, CA)
Ridgeview High School (Colfax, IL)
Ridgeview High School (Orange Park, FL)
Ridgeview High School (Redmond, OR)
Ridgeview Middle (Round Rock, TX)
Ridgevue High School (Nampa, ID)
Ridgeway Elementary (Ridgeway, WI)
Ridgeway Elementary School (Hamilton, OH)
Ridgeway High (Memphis, TN)
Ridgeway High (Ridgeway, MO)
Ridgeway Middle (Memphis, TN)
Ridgewood Comm High School (Norridge, IL)
Ridgewood Elementary (Eureka, CA)
Ridgewood Elementary School (West, OH)
Ridgewood High School (Ridgewood, NJ)
Ridgewood High School (West Lafayette, OH)
Ridgewood Middle School (West Lafayette, OH)
Ridgewood Preparatory School (Metairie, LA)
Ridgway Area HS (Ridgway, PA)
Ridgway Area Ms (Ridgway, PA)
Ridgway High (Continuation) (Santa Rosa, CA)
Ridgway High School (Ridgway, CO)
Ridley HS (Folsom, PA)
Rieck Avenue Elementary School (Millville, NJ)
Riesel School (Riesel, TX)
Rifle High School (Rifle, CO)
Rigby High School (Rigby, ID)
Rigby Middle School (Rigby, ID)
Riley Avenue School (Calverton, NY)
Riley County Grade School (Riley, KS)
Riley County High School (Riley, KS)
Riley Elem (Great Bend, KS)
Riley Elementary (Milwaukee, WI)
Riley Elementary School (Saint Johns, MI)
Riley High School (South Bend, IN)
Riley School-Dhh Elem Prgrm (Arlington Heights, IL)
Riley/New Dawn (San Diego, CA)
Rilke Schule Charter School (Anchorage, AK)
Rillito Center (Tucson, AZ)
Rim Of The World Senior High (Lake Arrowhead, CA)
Rimes Early Learning & Literacy Center (Leesburg, FL)
Rimrock Jr/Sr High School (Bruneau, ID)
Rincon High School (Tucson, AZ)
Rincon Valley Charter (Santa Rosa, CA)
Rindge Avenue Upper School (Cambridge, MA)
Ring Factory Elementary (Bel Air, MD)
Ring Lardner Middle School (Niles, MI)
Ringgold Elementary School (Benton, AR)
Ringgold High School (Ringgold, GA)
Ringgold High School (Ringgold, LA)
Ringgold Middle (Rio Grande City, TX)
Ringgold Shs (Monongahela, PA)
Ringling Es (Ringling, OK)
Ringling HS (Ringling, OK)
Ringwood HS (Ringwood, OK)
Rini Middle College (Providence, RI)
Rio Americano High (Sacramento, CA)
Rio Cazadero High (Continuation) (Sacramento, CA)
Rio Colorado Elementary School (San Luis, AZ)
Rio Costilla Sw Learning Academy (Costilla, NM)
Rio Del Rey High (Continuation) (Helm, CA)
Rio Del Valle Middle (Oxnard, CA)
Rio Gallinas School (Las Vegas, NM)
Rio Grande Baptist Academy (Rio Grande, NJ)
Rio Grande City Cisd Grulla H S (Rio Grande City, TX)
Rio Grande City H S (Rio Grande City, TX)
Rio Grande High (Albuquerque, NM)
Rio Grande Preparatory Institute (Mesilla, NM)
Rio Hondo H S (Rio Hondo, TX)
Rio Hondo Prep (Arcadia, CA)
Rio Hondo Preparatory (Arcadia, CA)
Rio Linda High (Rio Linda, CA)
Rio Lindo Adventist Academy (Healdsburg, CA)
Rio Mesa High (Oxnard, CA)
Rio Middle/High (Rio, WI)
Rio Rancho Cyber Academy (Rio Rancho, NM)
Rio Rancho High (Rio Rancho, NM)
Rio Rico High School (Rio Rico, AZ)
Rio Valley Charter (Lodi, CA)
Rio Vista Elementary (Cathedral City, CA)
Rio Vista Elementary (El Monte, CA)
Rio Vista Elementary (North Hollywood, CA)
Rio Vista H S (Rio Vista, TX)
Rio Vista High (Rio Vista, CA)
Rio Vista Isd Jjaep (Cleburne, TX)
Rio Vista Middle (Rio Vista, TX)
Ripley Christian Academy (Ripley, WV)
Ripley Co. Elem. (Doniphan, MO)
Ripley Elementary (Ripley, TN)
Ripley Elementary School (Ripley, MS)
Ripley High School (Ripley, MS)
Ripley High School (Ripley, TN)
Ripley High School (Ripley, WV)
Ripley HS (Ripley, OK)
Ripley-Ohio-Dearborn Sp Ed Coop (Sunman, IN)
Ripley-Union-Lewis-Huntington High School (Ripley, OH)
Ripon Christian Schools (Ripon, CA)
Ripon High (Ripon, CA)
Ripon High (Ripon, WI)
Ripperdan Community Day (Madera, CA)
Rippleside Elementary (Aitkin, MN)
Ririe Jr/Sr High School (Ririe, ID)
Risco High (Risco, MO)
Rise (Alvin, TX)
Rise Academy (Florence, KY)
Rise Academy (Lubbock, TX)
Rise Academy (San Jose, CA)
Rise Academy (Soap Lake, WA)
Rise Academy At Van Sickle (Springfield, MA)
Rise Academy For Adult Achievement (Reno, NV)
Rise Kohyang High (Los Angeles, CA)
Rise Learning Center (Indianapolis, IN)
Rise Preparatory Academy (Cutler Bay, FL)
Rise Resource Center (Cottonwood, AZ)
Rise University Preparatory (San Francisco, CA)
Rise Up Academy At Eggleston (South Bend, IN)
Risen Christ Christian Academy (Myrtle Beach, SC)
Riseup Community School (Denver, CO)
Rising Leaders Academy (Panama City, FL)
Rising Star Academy (Union City, NJ)
Rising Star H S (Rising Star, TX)
Rising Stars Academy (Center Line, MI)
Rising Stars Academy (Melbourne, FL)
Rising Stars At Carthage (Cincinnati, OH)
Rising Sun (Vernalis, CA)
Rising Sun High (North East, MD)
Rising Sun High School (Rising Sun, IN)
Rising Tide Charter Public School (Plymouth, MA)
Risley International Academy Of Innovation (Pueblo, CO)
Rison High School (Rison, AR)
Rita E. Miller Elementary School (Westford, MA)
Rita Smith El (Wylie, TX)
Ritchie County High School (Ellenboro, WV)
Ritchie County Middle (Ellenboro, WV)
Rite Of Passage (Yerington, CA)
Ritenour Sr. High (St Louis, MO)
Ritter Elementary (Los Angeles, CA)
Rittman Academy (Rittman, OH)
Rittman High School (Rittman, OH)
Rittman Middle School (Rittman, OH)
Ritzville High School (Ritzville, WA)
Rivendell Academy (Orford, NH)
Rivendell Elementary (Bowling Green, KY)
Rivendell High School (Bowling Green, KY)
River Academy (Greeneville, TN)
River Bend (Visalia, CA)
River Bend Area Learning Center (New Ulm, MN)
River Bend Career & Technical Center (Bradford, VT)
River Bend Educational Center (Minneapolis, MN)
River Bluff High (Lexington, SC)
River Bluff Middle (Stoughton, WI)
River Cities High (Wisconsin Rapids, WI)
River City Academy (Soldotna, AK)
River City Believers Academy (Selma, TX)
River City High (West Sacramento, CA)
River City Science Academy (Jacksonville, FL)
River City Science Academy At Mandarin (Jacksonville, FL)
River Dell Regional High School (Oradell, NJ)
River Delta Community Day (Courtland, CA)
River Delta High/Elementary (Alternative) (Rio Vista, CA)
River Elementary School (Patchogue, NY)
River Falls 4 Children (River Falls, WI)
River Falls High (River Falls, WI)
River Forest High School (Hobart, IN)
River Gate High School (Warren, OH)
River Grove Elem School (River Grove, IL)
River Hall Elementary School (Alva, FL)
River High School (Hannibal, OH)
River Hill High (Clarksville, MD)
River Mill Academy (Graham, NC)
River Oaks Academy (Houston, TX)
River Oaks Academy (Westlake Village, CA)
River Oaks El (Austin, TX)
River Oaks Elem (Woodbridge, VA)
River Oaks Middle (Raleigh, NC)
River Oaks School (Monroe, LA)
River Of Life Christian Academy (Lehman, PA)
River Of Life Christian School (Payette, ID)
River Ridge Academy (Bluffton, SC)
River Ridge Elementary (Patch Grove, WI)
River Ridge High (Patch Grove, WI)
River Ridge High School (Hanover, IL)
River Ridge High School (Lacey, WA)
River Ridge High School (New Port Richey, FL)
River Ridge High School (Woodstock, GA)
River Road H S (Amarillo, TX)
River Rock Academy - Lancaster (Lancaster, PA)
River Rock Academy Amity Campus (Douglassville, PA)
River Rock Academy Inc-Spring Grove (Spring Grove, PA)
River Rock Academy Newville Campus (Newville, PA)
River Rock Academy Red Lion Campus (Red Lion, PA)
River Rock Academy-Carlisle (Carlisle, PA)
River Rock Academy-Shiremanstown (Shiremanstown, PA)
River Rouge High School (River Rouge, MI)
River Run Academy At The Susan Wayne Ctr Of Excel (Thompson, CT)
River School (Sodus, MI)
River School (The) (New York, NY)
River Springs Charter (Temecula, CA)
River Springs Elementary (Irmo, SC)
River Terrace Education Campus (Washington, DC)
River Trail Elementary (Milwaukee, WI)
River Trail Learning Ctr @ Lo Jacob (Coon Rapids, MN)
River Trails El (Fort Worth, TX)
River Valley Academy (Rockford, MI)
River Valley Charter (Lakeside, CA)
River Valley Christian School (Glenn, CA)
River Valley Elementary (Washta, IA)
River Valley Elementary School (Meridian, ID)
River Valley High (Spring Green, WI)
River Valley High (Yuba City, CA)
River Valley High School (Bidwell, OH)
River Valley High School (Caledonia, OH)
River Valley High School (Mohave Valley, AZ)
River Valley Junior- Senior High School (Correctionville, IA)
River Valley Mennonite School (Castorland, NY)
River Valley Middle (Spring Green, WI)
River Valley Middle School (Jeffersonville, IN)
River Valley Middlehigh School (Three Oaks, MI)
River Valley Technical Center (Springfield, VT)
River View High School (Bradshaw, WV)
River View High School (Kennewick, WA)
River View High School (Warsaw, OH)
River Woods Elementary School (Naperville, IL)
River'S Edge Academy (St. Paul, MN)
Rivera Early College H S (Brownsville, TX)
Riverbank High (Riverbank, CA)
Riverbend Academy (Ormond Beach, FL)
Riverbend Academy (Tequesta, FL)
Riverbend Community School (The Dalles, OR)
Riverbend Elementary School (West Monroe, LA)
Riverbend High (Fredericksburg, VA)
Riverbend High School (La Grande, OR)
Riverbend Treatment Ctr. (St Joseph, MO)
Riverchase Career Connection Center (Hoover, AL)
Riverchase Ele (Coppell, TX)
Rivercrest H S (Bogata, TX)
Rivercrest High School (Wilson, AR)
Riverdahl Elem School (Rockford, IL)
Riverdale Academy (Coushatta, LA)
Riverdale Academy (Muscoda, WI)
Riverdale Avenue Community School (Brooklyn, NY)
Riverdale Baptist School (Upper Marlboro, MD)
Riverdale Country Day School (Palm Bay, FL)
Riverdale Elem School (Port Byron, IL)
Riverdale Elementary (Muscoda, WI)
Riverdale Elementary (Riverdale, MD)
Riverdale Elementary School (Mt Blanchard, OH)
Riverdale High (Muscoda, WI)
Riverdale High (Riverdale, CA)
Riverdale High School (Fort Myers, FL)
Riverdale High School (Jefferson, LA)
Riverdale High School (Mt Blanchard, OH)
Riverdale High School (Murfreesboro, TN)
Riverdale High School (Portland, OR)
Riverdale High School (Riverdale, GA)
Riverdale Middle School (Jefferson, LA)
Riverdale Middle School (Riverdale, GA)
Riverdale Ridge High School (Thornton, CO)
Riverdale Sr High School (Port Byron, IL)
Riverdale/Kingsbridge Academy (Ms/HS 141) (Bronx, NY)
Rivereast Program (Saint Paul, MN)
Riverfield Country Day School (Tulsa, OK)
Riverglades Elementary School (Parkland, FL)
Riverglen Jr High School (Boise, ID)
Riverhead Middle School (Riverhead, NY)
Riverhead Senior High School (Riverhead, NY)
Riverheads High (Staunton, VA)
Riverhills Elementary Magnet School (Temple Terrace, FL)
Riverland Christian Academy (Dunnellon, FL)
Rivermont Collegiate (Bettendorf, IA)
Rivermont Lynchburg North (Lynchburg, VA)
Rivermont School - Alleghany Highlands (Covington, VA)
Rivermont School - Chase City (Chase City, VA)
Rivermont School - Dan River (Danville, VA)
Rivermont School - Fredericksburg (Fredericksburg, VA)
Rivermont School - Greater Petersburg (Dinwiddie, VA)
Rivermont School - Hampton (Hampton, VA)
Rivermont School - Nova (Lorton, VA)
Rivermont School - Roanoke (Roanoke, VA)
Rivermont School - Rockbridge (Fairfield, VA)
Rivermont School - Tidewater (Virginia Beach, VA)
Riveroak Technical College (Live Oak, FL)
Riverpointe Christian Academy (Charleston, SC)
Rivers Academy (Alpharetta, GA)
Rivers Edge Academy Charter School (Rogue River, OR)
Rivers Edge Christian Academy (Knoxville, TN)
Rivers Edge Elem (Glen Allen, VA)
Rivers Edge Elementary School (Port St Lucie, FL)
Rivers Edge High School (Richland, WA)
Rivers Edge School (South Jordan, UT)
Rivers Of Life Christian School (Granite City, IL)
Riverside Academy (Cambridge, MN)
Riverside Academy (Cincinnati, OH)
Riverside Academy (Dundee, MI)
Riverside Academy (Kingston Springs, TN)
Riverside Academy (Reserve, LA)
Riverside Academy High School (Buffalo, NY)
Riverside Academy Is (Cambridge, MN)
Riverside Academy West Campus (Dearborn, MI)
Riverside Alternative High School (Bridge City, LA)
Riverside Brookfield Twp HS (Riverside, IL)
Riverside Christian Academy (Fayetteville, TN)
Riverside Christian Academy (Lumberton, NC)
Riverside Christian School (East Grand Forks, MN)
Riverside Christian School (Trenton, FL)
Riverside Christian Training School (Lost Creek, KY)
Riverside Colony Elementary - 15 (Huron, SD)
Riverside Community High School (Oakland, IA)
Riverside County Community (Riverside, CA)
Riverside County Rop (Riverside, CA)
Riverside County Special Education (Riverside, CA)
Riverside Drive Charter (Sherman Oaks, CA)
Riverside El Sch (Ellwood City, PA)
Riverside Elementary (Brainerd, MN)
Riverside Elementary (Chattaroy, WA)
Riverside Elementary (Columbia, TN)
Riverside Elementary (Elmira, NY)
Riverside Elementary (Joppa, MD)
Riverside Elementary (Oakland, IA)
Riverside Elementary School (Oneonta, NY)
Riverside Elementary School (Simmesport, LA)
Riverside Elementary School (Toledo, OH)
Riverside Elementary School (Waterford, MI)
Riverside H S (El Paso, TX)
Riverside High (Durham, NC)
Riverside High (Greer, SC)
Riverside High (Leesburg, VA)
Riverside High (Milwaukee, WI)
Riverside High (Williamston, NC)
Riverside High School (Albany, OR)
Riverside High School (Avon, MS)
Riverside High School (Belle, WV)
Riverside High School (Cedar Rapids, NE)
Riverside High School (Chattaroy, WA)
Riverside High School (De Graff, OH)
Riverside High School (Decaturville, TN)
Riverside High School (Indianapolis, IN)
Riverside High School (Lake City, AR)
Riverside High School (Riverside, NJ)
Riverside High School (Wathena, KS)
Riverside High School (Yonkers, NY)
Riverside HS (Ellwood City, PA)
Riverside Indian School (Anadarko, OK)
Riverside Intermediate (Plymouth, IN)
Riverside Jr/Sr High School (Painesville, OH)
Riverside Jshs (Taylor, PA)
Riverside Junior/Senior High School (Boardman, OR)
Riverside Magnet School At Goodwin University (East Hartford, CT)
Riverside Middle School (Billings, MT)
Riverside Middle School (Dearborn Heights, MI)
Riverside Middle School (Riverside, RI)
Riverside Middle School (Spalding, NE)
Riverside Middle/High School (Basin, WY)
Riverside Preparatory (Oro Grande, CA)
Riverside Preparatory Academy (Gainesville, GA)
Riverside School (Hastings, MN)
Riverside School (Milford, MA)
Riverside School (Needham, MA)
Riverside School (Washington, UT)
Riverside School 44 (Indianapolis, IN)
Riverside Stem Academy (Riverside, CA)
Riverside Traditional School (Phoenix, AZ)
Riverside Virtual (Riverside, CA)
Riverside Virtual High School (Wathena, KS)
Riverstone International School (Boise, ID)
Riverton High (Riverton, KS)
Riverton High (Riverton, UT)
Riverton High School (Riverton, IL)
Riverton High School (Riverton, WY)
Riverton Intermediate School (Huntsville, AL)
Riverton Parke Jr-Sr High School (Montezuma, IN)
Riverton School (Riverton, UT)
Riverview Baptist Christian School (Morrilton, AR)
Riverview Baptist Christian Schools (Pasco, WA)
Riverview Christian School (Forsyth, MO)
Riverview Christian School (Grove City, MN)
Riverview Community High School (Riverview, MI)
Riverview Early Childhood Center (Riverview, MI)
Riverview East Academy (Cincinnati, OH)
Riverview East High School (Marine City, MI)
Riverview Elementary (Baltimore, MD)
Riverview Elementary (Fort Mill, SC)
Riverview Elementary (Lakeside, CA)
Riverview Elementary (Silver Lake, WI)
Riverview Elementary (Wautoma, WI)
Riverview Elementary School (Dawsonville, GA)
Riverview Elementary School (Dayton, NV)
Riverview Elementary School (Munroe Falls, OH)
Riverview Elementary School (South Beloit, IL)
Riverview Gardens Sr. High (St Louis, MO)
Riverview High School (Riverview, FL)
Riverview High School (Sarasota, FL)
Riverview High School (Searcy, AR)
Riverview Jshs (Oakmont, PA)
Riverview Junior High School (Searcy, AR)
Riverview Learning Center (Daytona Beach, FL)
Riverview Middle (Barron, WI)
Riverview Middle (Bay Point, CA)
Riverview Opportunity Center (Shepherdsville, KY)
Riverview School (East Sandwich, MA)
Riverview School (The) (Woodside, NY)
Riverview School (Waukesha, WI)
Riverway Secondary (Winona, MN)
Riverwood Classical School (Tuscaloosa, AL)
Riverwood International Charter School (Atlanta, GA)
Riverwoods School Non-Residential (Saint Cloud, MN)
Riviera Beach Preparatory & Achievement Academy (Riviera Beach, FL)
Riviera Elementary School (Palm Bay, FL)
Roach El (Garland, TX)
Roachdale Elementary School (Roachdale, IN)
Road To Success Academy (Columbus, OH)
Road To Success Academy At Campus Kilpatrick (Malibu, CA)
Roadrunner Elementary School (Marana, AZ)
Roadrunner School (Phoenix, AZ)
Roadstead Montesorri High School (Norfolk, VA)
Roan Creek Elementary (Mountain City, TN)
Roane County High (Spencer, WV)
Roane County High School (Kingston, TN)
Roane-Jackson Vo-Tech Center (Leroy, WV)
