3 Oaks Academy (Naples, FL)
Onion Creek Elementary (Colville, WA)
Online 728 (Elk River, MN)
Online Learning Academy (Peoria, IL)
Onondaga Senior High School (Nedrow, NY)
Onondaga-Cortland-Madison Boces (Syracuse, NY)
Onslow Christian Academy (Jacksonville, NC)
Onslow Early College (Jacksonville, NC)
Onslow K-12 Virtual School (Jacksonville, NC)
Onsted Community High School (Onsted, MI)
Ontario Christian School (Ontario, CA)
Ontario High (Ontario, CA)
Ontario High School (Mansfield, OH)
Ontario High School (Ontario, OR)
Ontario Middle School (Ontario, OR)
Ontario-Seneca-Yates-Cayuga-Wayne Boces (Newark, NY)
Onteora High School (Boiceville, NY)
Ontiveros (Juan Pacifico) Elementary (Santa Maria, CA)
Ontonagon Area School (Ontonagon, MI)
Oolitic Middle School (Oolitic, IN)
Oologah-Talala HS (Oologah, OK)
Oologah-Talala Upper Es (Oologah, OK)
Ooltewah High School (Ooltewah, TN)
Oostburg Elementary (Oostburg, WI)
Oostburg High (Oostburg, WI)
Oostburg Middle (Oostburg, WI)
Opal Elementary - 15 (Opal, SD)
Opelika High School (Opelika, AL)
Opelika Learning Center (Opelika, AL)
Opelousas Catholic School (Opelousas, LA)
Opelousas Senior High School (Opelousas, LA)
Open Bible Academy (Cambridge, MD)
Open Bible Christian Academy (Kingsville, MD)
Open Bible Christian Academy (Waterflow, NM)
Open Bible Christian School (Valdosta, GA)
Open Charter Magnet (Los Angeles, CA)
Open Den (Coupeville, WA)
Open Door Charter (Salinas, CA)
Open Door Christian Academy (Denham Springs, LA)
Open Door Christian Academy (Troutdale, OR)
Open Door Christian School (Waynesburg, PA)
Open Door Re-Engagement (Othello, WA)
Open Door Youth Reengagement (Renton, WA)
Open Doors - Youth Reengagement Program (Anacortes, WA)
Open Doors (Anacortes, WA)
Open Doors (Mt. Vernon, WA)
Open Doors (Spokane, WA)
Open Doors (Vancouver, WA)
Open Doors At Lwit (Kirkland, WA)
Open Doors Battle Ground (Brush Prairie, WA)
Open Doors Evergreen (Vancouver, WA)
Open Doors For Stevenson High School (Stevenson, WA)
Open Doors Re-Engagement (Wenatchee, WA)
Open Doors Reengagement Program (Chimacum, WA)
Open Doors Youth Reengagement (1418) (Federal Way, WA)
Open Doors Youth Reengagement (Sultan, WA)
Open High (Richmond, VA)
Open Mind School (Menlo Park, CA)
Open School East (Portland, OR)
Open World Learning Secondary (Saint Paul, MN)
Operation Fresh Start (Madison, WI)
Opheim High School (Opheim, MT)
Opheim School (Opheim, MT)
Opp High School (Opp, AL)
Oppenheim-Ephratah-St Johnsville Junior/Senior High School (St Johnsville, NY)
Opport Awareness Ctr (Katy, TX)
Opportunities Academy (New Orleans, LA)
Opportunities For Learning - Baldwin Park (Irwindale, CA)
Opportunities For Learning - Capistrano (San Juan Capistrano, CA)
Opportunities For Learning - Duarte (Duarte, CA)
Opportunities For Learning - Santa Clarita (Valencia, CA)
Opportunity Academy (Newton, KS)
Opportunity Academy (Oakland, CA)
Opportunity Academy (Ozark, AL)
Opportunity Charter School (New York, NY)
Opportunity Middle College (Lexington, KY)
Opportunity Program (Riverside, CA)
Opportunity Training Center (Presque Isle,, ME)
Opportunity Youth Academy (San Jose, CA)
Ops Virtual Middle School (Omaha, NE)
Optima Public School (Optima, OK)
Options (Burnsville, MN)
Options (Roseville, MN)
Options (Texarkana, TX)
Options At Edina High School (Edina, MN)
Options Charter School - Carmel (Carmel, IN)
Options Charter School Noblesville (Noblesville, IN)
Options Educational Services (Hartford, CT)
Options For Youth - Duarte Inc (City Of Industry, CA)
Options For Youth San Gabriel (San Gabriel, CA)
Options For Youth-Acton (Fontana, CA)
Options For Youth-San Bernardino (San Bernardino, CA)
Options For Youth-San Juan (Carmichael, CA)
Options For Youth-Victorville Charter (Victorville, CA)
Options H S (El Paso, TX)
Options High School (Bellingham, WA)
Options Indiana (Noblesville, IN)
Options School (Aurora, CO)
Options School (Centennial, CO)
Options Secondary (Chula Vista, CA)
Ora Academy (Rochester, NY)
Oran High School (Oran, MO)
Orange Avenue Baptist School (Fort Pierce, FL)
Orange City Elementary School (Orange City, FL)
Orange City Elementary School (Orange City, IA)
Orange Co. High (Orange, VA)
Orange County American High School (Jacksonville, FL)
Orange County Classical Academy (Orange, CA)
Orange County Special Education (Costa Mesa, CA)
Orange County Workforce Innovation High (Anaheim, CA)
Orange Cove High (Orange Cove, CA)
Orange Crescent School (Garden Grove, CA)
Orange Glen High (Escondido, CA)
Orange Grove El (Orange Grove, TX)
Orange Grove Elementary School (Seminole, FL)
Orange Grove H S (Orange Grove, TX)
Orange Grove High (Corona, CA)
Orange Grove Middle Magnet School (Tampa, FL)
Orange High (Hillsborough, NC)
Orange High (Orange, CA)
Orange High School (Lewis, OH)
Orange High School (Orange, NJ)
Orange High School (Pepper Pike, OH)
Orange Inclusive Preschool (Pepper Pike, OH)
Orange Lutheran High School (Orange, CA)
Orange Park High School (Orange Park, FL)
Orange Technical College Mid Florida Campus (Orlando, FL)
Orange Technical College Orlando Campus (Orlando, FL)
Orange Technical College Westside Campus (Winter Garden, FL)
Orange Vista High (Perris, CA)
Orange Youth Academy (Orlando, FL)
Orange-Ulster Boces (Goshen, NY)
Orangeburg Christian Academy (Orangeburg, SC)
Orangeburg Preparatory School (Orangeburg, SC)
Orangeburg Wilkinson High (Orangeburg, SC)
Orangedale Early Learning Center (Phoenix, AZ)
Orangefield H S (Orangefield, TX)
Orangefield J H (Orangefield, TX)
Orangeville High School (Orangeville, IL)
Orangeville Jr High School (Orangeville, IL)
Orangewood Academy (Garden Grove, CA)
Orangewood High (Continuation) (Redlands, CA)
Oratory Preparatory School (Summit, NJ)
Orcas Island High School (Eastsound, WA)
Orcas Island Middle School (Eastsound, WA)
Orchard Academies 2c (Bell, CA)
Orchard Avenue Elementary School (Grand Junction, CO)
Orchard Center Elementary (Spokane, WA)
Orchard Center High School (Monroe, MI)
Orchard Collegiate Academy (New York, NY)
Orchard Elementary (Rio Linda, CA)
Orchard Elementary (San Jose, CA)
Orchard Elementary School (Mobile, AL)
Orchard Elementary School (Ridgewood, NJ)
Orchard Farm High School (St. Charles, MO)
Orchard Farm Middle School (St Charles, MO)
Orchard Friends School (Riverton, NJ)
Orchard Hills School (Milford, CT)
Orchard Hills School (Santaquin, UT)
Orchard Lake Elementary (Lakeville, MN)
Orchard Middle School (Solon, OH)
Orchard Park High School (Orchard Park, NY)
Orchard Place School (Des Moines, IA)
Orchard Ranch Elementary (Roseville, CA)
Orchard Ridge Elementary (Madison, WI)
Orchard School (North Salt Lake, UT)
Orchard School (Orem, UT)
Orchard School (Yonkers, NY)
Orchard View (Sebastopol, CA)
Orchard View Alternative High School (Hopewell Junction, NY)
Orchard View Community Education (Muskegon, MI)
Orchard View Elem (Winchester, VA)
Orchard View High School (Muskegon, MI)
Orchards Elementary School (Lewiston, ID)
Orchardville Mennonite School (Keenes, IL)
Orcutt Academy Charter (Orcutt, CA)
Ord Jr-Sr High School (Ord, NE)
Ore City H S (Ore City, TX)
Oregon Challenge High School (Bend, OR)
Oregon Charter Academy (Mill City, OR)
Oregon City Senior High School (Oregon City, OR)
Oregon City Service Learning Academy (Oregon City, OR)
Oregon Connections Academy (Prairie City, OR)
Oregon Correctional Center (Fitchburg, WI)
Oregon Episcopal School (Portland, OR)
Oregon Family School (Crane, OR)
Oregon High (Oregon, WI)
Oregon High School (Oregon, IL)
Oregon International School (Baker City, OR)
Oregon Outreach (Portland, OR)
Oregon School For The Deaf (Salem, OR)
Oregon Trail Academy (Boring, OR)
Oregon Virtual Education (Orved) (Hillsboro, OR)
Oregon Virtual Education (Scio, OR)
Oregon-Davis Jr-Sr High School (Hamlet, IN)
Orem High (Orem, UT)
Orem Jr High (Orem, UT)
Orems Elementary (Baltimore, MD)
Orenco Elementary School (Hillsboro, OR)
Orestimba High (Newman, CA)
Orient-Macksburg Senior High School (Orient, IA)
Origins High School (Brooklyn, NY)
Orinda Academy (Orinda, CA)
Orion Academy (Moraga, CA)
Orion High School (Midland, TX)
Orion High School (Orion, IL)
Orion International Academy (Ontario, CA)
Oriskany Junior-Senior High School (Oriskany, NY)
Orland Center School (Orland Park, IL)
Orland Community Day (Orland, CA)
Orland High (Orland, CA)
Orlando Christian Prep (Orlando, FL)
Orlando Gifted Academy (Orlando, FL)
Orlando Science Middle High Charter (Orlando, FL)
Orleans County Christian School (Medina, NY)
Orleans Elementary School (Orleans, IN)
Orleans Jr-Sr High School (Orleans, IN)
Orleans-Niagara Boces (Medina, NY)
Orlo Avenue School (East Providence, RI)
Orofino High School (Orofino, ID)
Orono High School (Orono, ME)
Orono Middle School (Orono, ME)
Orono Senior High (Long Lake, MN)
Oros Bais Yakov (Lakewood, NJ)
Orosi High (Orosi, CA)
Oroville High (Oroville, CA)
Oroville High Community Day (Oroville, CA)
Oroville Middle-High School (Oroville, WA)
Orozco Elem Fine Arts & Sciences (Chicago, IL)
Orr Academy High School (Chicago, IL)
Orr Creek (Ukiah, CA)
Orrick High (Orrick, MO)
Orrville Elementary School (Orrville, OH)
Orrville High School (Orrville, OH)
Ortega Elementary School (Jacksonville, FL)
Ortega High (Lake Elsinore, CA)
Orthopaedic Hospital (Los Angeles, CA)
Orting High School (Orting, WA)
Orting Special Education (Orting, WA)
Ortiz El (Brownsville, TX)
Orton Academy (Colorado Springs, CO)
Ortonville Secondary (Ortonville, MN)
Orville A Todd Middle School (Poughkeepsie, NY)
Orville H. Platt High School (Meriden, CT)
Osage City High (Osage City, KS)
Osage High (Osage Beach, MO)
Osage High School (Osage, IA)
Osage Hills Public School (Bartlesville, OK)
Osage School (Voorhees, NJ)
Osakis Secondary (Osakis, MN)
Osawatomie High (Osawatomie, KS)
Osawatomie Middle School (Osawatomie, KS)
Osborn High (Osborn, MO)
Osborn High School (Detroit, MI)
Osborn Hill School (Fairfield, CT)
Osborn Two-Way Immersion Academy (Turlock, CA)
Osborne Elem (Osborne, KS)
Osborne High School (Marietta, GA)
Osborne Junior/Senior High (Osborne, KS)
Osbourn High (Manassas, VA)
Osbourn Park High (Manassas, VA)
Oscar A Carlson High School (Rockwood, MI)
Oscar De La Hoya Animo Charter High (Los Angeles, CA)
Oscar F Smith High (Chesapeake, VA)
Oscar F. Loya Elementary (Salinas, CA)
Oscar Hamilton Elementary Sch (Foreman, AR)
Oscar Hernandez Guevarra (Guayama, PR)
Oscar Howe Elementary - 58 (Sioux Falls, SD)
Oscar J. Pope Elementary School (Lakeland, FL)
Osceola Christian Preparatory School (Kissimmee, FL)
Osceola County School For The Arts (Kissimmee, FL)
Osceola Fundamental High (Seminole, FL)
Osceola High (Osceola, WI)
Osceola High School (Kissimmee, FL)
Osceola High School (Osceola, AR)
Osceola High School (Osceola, NE)
Osceola Jr.-Sr. High (Osceola, MO)
Osceola Science Charter School (Kissimmee, FL)
Osceola Stem Charter (Osceola, AR)
Osceola Technical College Kissimmee Campus (Kissimmee, FL)
Osceola Technical College Poinciana Campus (Kissimmee, FL)
Osceola Technical College St Cloud Campus (St. Cloud, FL)
Osceola Virtual Franchise (Secondary) (St Cloud, FL)
Osceola Virtual Instruction (Course Offerings) (St Cloud, FL)
Osceola Virtual Instruction Program (St Cloud, FL)
Oscoda Area High School (Oscoda, MI)
Oshki Manidoo Center (Bemidji, MN)
Oshkosh Correctional Institution (Oshkosh, WI)
Oskaloosa High School (Oskaloosa, IA)
Oskaloosa Jr-Sr High School (Oskaloosa, KS)
Oskaloosa Middle School (Oskaloosa, IA)
Oslo Middle School (Vero Beach, FL)
Osmond Elementary School (Osmond, NE)
Osmond High School (Osmond, NE)
Osprey Learning Center (Alternative) (Miranda, CA)
Osprey Learning Center (Redway, CA)
Osseo Area Learning Center (Brooklyn Park, MN)
Osseo Education Center (Osseo, MN)
Osseo Senior High (Osseo, MN)
Osseo-Fairchild High (Osseo, WI)
Ossining High School (Ossining, NY)
Osuna Elementary (Albuquerque, NM)
Oswayo Valley HS (Shinglehouse, PA)
Oswego Boces (Mexico, NY)
Oswego Community Christian School (Oswego, NY)
Oswego East High School (Oswego, IL)
Oswego Goal (Oswego, IL)
Oswego High School (Oswego, IL)
Oswego High School (Oswego, NY)
Oswego Junior-Senior High School (Oswego, KS)
Otay Ranch Senior High (Chula Vista, CA)
Otero County Prison (Chaparral, NM)
Othello High School (Othello, WA)
Other Schools (Everett, WA)
Otis Elem School (Chicago, IL)
Otis Elementary School (Fremont, OH)
Otis Junior-Senior High School (Otis, CO)
Otis-Bison Junior/Senior High School (Otis, KS)
Otisville Elementary School (Otisville, NY)
Otsego Christian Academy (Otego, NY)
Otsego Elementary School (Tontogany, OH)
Otsego High School (Bowling Green, OH)
Otsego High School (Otsego, MI)
Otsego Middle School (Otsego, MI)
Otsego West Campus High School (Otsego, MI)
Otsego-Delaware-Schoharie-Greene Boces (Grand Gorge, NY)
Otselic Valley Central School (South Otselic, NY)
Ottauquechee School (Quechee, VT)
Ottawa Area Center (Allendale, MI)
Ottawa County Christian Academy (Oak Harbor, OH)
Ottawa Elementary School (Petoskey, MI)
Ottawa Hills Elementary School (Toledo, OH)
Ottawa Hills High School (Grand Rapids, MI)
Ottawa Hills High School (Toledo, OH)
Ottawa Sr High (Ottawa, KS)
Ottawa Township High School (Ottawa, IL)
Ottawa-Glandorf High School (Ottawa, OH)
Otter Creek Academy (Monticello, KY)
Otter Creek Elementary (Georgetown, CA)
Otter Valley Union High School (Brandon, VT)
Otterbein Elementary School (Otterbein, IN)
Otterville Elem. (Otterville, MO)
Otterville High (Otterville, MO)
Otto Petersen Elementary School (Scappoose, OR)
Otto Specht School The (Chestnut Ridge, NY)
Otto-Eldred Jshs (Duke Center, PA)
Ottobine Elem (Dayton, VA)
Ottoville High School (Ottoville, OH)
Ottumwa Christian School (Ottumwa, IA)
Ottumwa High School (Ottumwa, IA)
Otwell Middle School (Cumming, GA)
Otwell Miller Academy (Otwell, IN)
Ouachita Christian School (Monroe, LA)
Ouachita High School (Donaldson, AR)
Ouachita Parish High School (Monroe, LA)
Ouida Springer (Rockwall, TX)
Our Career Centered Academy Inc. (Lake Alfred, FL)
Our Home (Parkston, SD)
Our Home Asap - 12 (Huron, SD)
Our Home Rediscovery - 77 (Huron, SD)
Our Lady Academy (Bay St Louis, MS)
Our Lady Help Of Christians Academy (Watkins, CO)
Our Lady Of Charity School (Hialeah, FL)
Our Lady Of Good Counsel High School (Olney, MD)
Our Lady Of Lourdes Academy (Miami, FL)
Our Lady Of Mercy Academy (Newfield, NJ)
Our Lady Of Mercy Academy (Syosset, NY)
Our Lady Of Mercy Catholic High School (Fayetteville, GA)
Our Lady Of Mercy School For Young Women (Rochester, NY)
Our Lady Of Mt Carmel School (Essex, MD)
Our Lady Of Providence High School (Clarksville, IN)
Our Lady Of Sorrow Academy (Phoenix, AZ)
Our Lady Of Tepeyac High School (Chicago, IL)
Our Lady Of The Elms School (Akron, OH)
Our Lady Of The Hills Reg Catholic High School (Kerrville, TX)
Our Lady Of The Lakes Catholic School (Waterford, MI)
Our Lady Of The Rosary Catholic School (Greenville, SC)
Our Lady Of The Sacred Heart High School (Coraopolis, PA)
Our Lady Of The Sun Catholic Church (Peoria, AZ)
Our Lady Sacred Heart Academy (Rockford, IL)
Our Redeemer Lutheran North School (Houston, TX)
Our Redeemers Christian School (Minot, ND)
Our Savior New American School (Centereach, NY)
Our Saviour Lutheran School (Bronx, NY)
Ouray Senior High School (Ouray, CO)
Ousd Community Day (Orange, CA)
Ousd Home Sch (Orange, CA)
Ousley J H (Arlington, TX)
Out Of District Facility (Renton, WA)
Out Of District Special Ed (Monroe, WA)
Out Of State School (St George, UT)
Outback Preschool (Aurora, CO)
Outcomes For Academic Resilience (Lake Stevens, WA)
Outlook Academy (Allegan, MI)
Outlook Academy (South Holland, IL)
Outlook Academy Youth Home Campus (Allegan, MI)
Outreach Christian Academy (Hamlet, NC)
Outreach Christian Education (Kansas City, MO)
Outside In School (Bolivar, PA)
Outside School Day Program (Louisville, KY)
Outward Bound (Scottsmoor, FL)
Ouzinkie School (Ouzinkie, AK)
Overbrook Attendance Center (Overbrook, KS)
Overbrook HS (Philadelphia, PA)
Overbrook Senior High School (Pine Hill, NJ)
Overcomers' Academy (Thomaston, GA)
Overhills High (Spring Lake, NC)
Overhills Middle (Spring Lake, NC)
Overlake Specialty School (Bellevue, WA)
Overland Christian Schools (Overland Park, KS)
Overland High School (Aurora, CO)
Overlea High (Baltimore, MD)
Overlook Middle School (Ashburnham, MA)
Overton Adult High School (Livingston, TN)
Overton H S (Overton, TX)
Overton High (Memphis, TN)
Overton High School (Overton, NE)
Ovidelsie Comm Edalt HS (Ovid, MI)
Ovidelsie High School (Elsie, MI)
Ovidelsie Middle School (Elsie, MI)
Oviedo High School (Oviedo, FL)
Ovilla Christian School (Ovilla, TX)
Owasso HS (Owasso, OK)
Owasso Preparatory Academy (Owasso, OK)
Owatin Creek El Sch (Reading, PA)
Owatonna Christian School (Owatonna, MN)
Owatonna Senior High (Owatonna, MN)
Owatonna Summer School 9-12 (Owatonna, MN)
Owego Free Academy (Owego, NY)
Owen County Elementary/Primary School (Owenton, KY)
Owen County High School (Owenton, KY)
Owen D Young Central School (Van Hornesville, NY)
Owen High (Black Mountain, NC)
Owen J Roberts HS (Pottstown, PA)
Owen Valley Community High School (Spencer, IN)
Owen-Withee High (Owen, WI)
Owendalegagetown Jrsr High School (Owendale, MI)
Owens Elementary School (Wikieup, AZ)
Owens Int (Houston, TX)
Owens Valley High (Independence, CA)
Owensboro Catholic High School (Owensboro, KY)
Owensboro High School (Owensboro, KY)
Owensboro Innovation Academy (Owensboro, KY)
Owensmouth Continuation (Canoga Park, CA)
Owensville High (Owensville, MO)
Owings Mills High (Owings Mills, MD)
Owl Creek School (Fayetteville, AR)
Owosso High School (Owosso, MI)
Owosso Middle School (Owosso, MI)
Owsley County High School (Booneville, KY)
Owyhee High School (Owyhee, NV)
Oxbow Academy (Wales, UT)
Oxbow Aces Academyalternative (Alpena, MI)
Oxbow Union High School (Bradford, VT)
Oxbridge Academy Of The Palm Beaches (West Palm Beach, FL)
Oxendine Elementary (Maxton, NC)
Oxf/Laf School Of Applied Tech (Oxford, MS)
Oxford Academy (Cypress, CA)
Oxford Academy (Riverton, UT)
Oxford Academy High School (Oxford, NY)
Oxford Area HS (Oxford, PA)
Oxford Area Vocational School (Oxford, AL)
Oxford Avenue School (Eau Claire, WI)
Oxford Bridges High School (Oxford, MI)
Oxford Crossroads Day School (Oxford, MI)
Oxford Day Academy (East Palo Alto, CA)
Oxford High (Oxford, MA)
Oxford High School (Oxford, AL)
Oxford High School (Oxford, CT)
Oxford High School (Oxford, MI)
Oxford High School (Oxford, MS)
Oxford Hills Comprehensive H S (Paris, ME)
Oxford Jr/Sr High (Oxford, KS)
Oxford Learning Center (Oxford, MS)
Oxford Middle School (Oxford, CT)
Oxford Middle School (Oxford, MI)
Oxford Preparatory (Oxford, NC)
Oxford-Cumberland Canal School (Westbrook, ME)
Oxnard High (Oxnard, CA)
Oxnard Middle College High (Oxnard, CA)
Oxon Hill High (Oxon Hill, MD)
Oya Charter Manitou 6th-8th (Manitou, OK)
Oya Charter Manitou 9th-12th (Manitou, OK)
Oya Charter Tecumseh 9th-12th (Tecumseh, OK)
Oyler School (Cincinnati, OH)
Oyster Bay High School (Oyster Bay, NY)
Oyster Creek El (Sugar Land, TX)
Oyster River High School (Durham, NH)
Oysterponds Elementary School (Orient, NY)
Ozark Adventist Academy (Gentry, AR)
Ozark Correctional Center (Fordland, MO)
Ozark High (Ozark, MO)
Ozark High School (Ozark, AR)
Ozark Hills School (Salem, MO)
Ozark Horizon School (West Plains, MO)
Ozark Mennonite School (Seymour, MO)
Ozark Mountain Technical Ctr. (Mountain Grove, MO)
Ozaukee High (Fredonia, WI)
Ozaukee Middle (Fredonia, WI)
Ozona H S (Ozona, TX)
