18+ Program (Hastings, NE)
Patton Springs School (Afton, TX)
Pattonsburg Elem. (Pattonsburg, MO)
Pattonsburg High (Pattonsburg, MO)
Pattonville Sr. High (Maryland Heights, MO)
Patuxent High (Lusby, MD)
Pauba Valley Elementary (Temecula, CA)
Paul & Sheila Wellstone Elementary (Saint Paul, MN)
Paul A Brown Alternative Center (Beaumont, TX)
Paul And Jane Meyer Public H S (Waco, TX)
Paul Anderson High School (Vidalia, GA)
Paul B. Stephens Ese Center (Clearwater, FL)
Paul Cuffee Upper School (Providence, RI)
Paul D Schreiber Senior High School (Port Washington, NY)
Paul D. West Middle School (East Point, GA)
Paul Duke Stem High School (Norcross, GA)
Paul G. Blazer High School (Ashland, KY)
Paul G. Caywood Elementary (Lexington, TN)
Paul H Huber Jr High School (Douglas, AZ)
Paul Hanlon (Westwood, MA)
Paul I Miller School 114 (Indianapolis, IN)
Paul J Bellew Elementary School (West Islip, NY)
Paul Laurence Dunbar High (Baltimore, MD)
Paul Laurence Dunbar High School (Lexington, KY)
Paul Munro Elem (Lynchburg, VA)
Paul Pcs - International HS (Washington, DC)
Paul R Baird Middle (Ludlow, MA)
Paul R Brown Leadership Academy (Elizabethtown, NC)
Paul R. Brown Leadership Academy (Elizabethtown, NC)
Paul Robeson HS For Human Services (Philadelphia, PA)
Paul Rogers Elementary (Colton, CA)
Paul Saylor Elementary School (Valparaiso, IN)
Paul T. Albert Memorial School (Tununak, AK)
Paul V Moore High School (Central Square, NY)
Paul Vi High School (Haddonfield, NJ)
Paul W Bryant High School (Cottondale, AL)
Paulding County High School (Dallas, GA)
Paulding High School (Paulding, OH)
Paulette Smith Middle School (Fouke, AR)
Pauline Central Primary (Topeka, KS)
Paulo Freire Social Justice Charter School (Chicopee, MA)
Pauls Valley HS (Pauls Valley, OK)
Paulsboro High School (Paulsboro, NJ)
Pave Academy Charter School (Brooklyn, NY)
Pave Southeast Raleigh Charter (Raleigh, NC)
Pavilion Junior-Senior High School (Pavilion, NY)
Paw Creek Elementary (Charlotte, NC)
Paw Paw High School (Paw Paw, MI)
Paw Paw High School (Paw Paw, WV)
Pawhuska Es (Pawhuska, OK)
Pawhuska HS (Pawhuska, OK)
Pawling High School (Pawling, NY)
Pawnee City Secondary School (Pawnee City, NE)
Pawnee Elem School (Omaha, NE)
Pawnee Heights (Rozel, KS)
Pawnee HS (Pawnee, OK)
Pawnee Jr/Sr High Sch (Pawnee, IL)
Pawnee School Pk-12 (Grover, CO)
Paws (Batavia, IL)
Paxico Middle School (Paxico, KS)
Paxinosa El Sch (Easton, PA)
Paxon School/Advanced Studies (Jacksonville, FL)
Paxton Center (Paxton, MA)
Paxton High School (Paxton, NE)
Paxton School (Paxton, FL)
Paxton-Buckley-Loda High School (Paxton, IL)
Payette High School (Payette, ID)
Payette Primary School (Payette, ID)
Payette River Technical Academy (Emmett, ID)
Payne Es (Washington, DC)
Paynesville Area High School (Paynesville, MN)
Payson Center For Success - Online (Payson, AZ)
Payson Center For Success High School (Payson, AZ)
Payson Elementary School (Payson, AZ)
Payson High (Payson, UT)
Payson High School (Payson, AZ)
Payton College Preparatory HS (Chicago, IL)
Pcjted - Ajo High School (Ajo, AZ)
Pcjted - Amphitheater High School (Tucson, AZ)
Pcjted - Andrada Polytechnic High School (Tucson, AZ)
Pcjted - Aztec Middle College (Tucson, AZ)
Pcjted - Aztec Middle College Desert Vista (Tucson, AZ)
Pcjted - Aztec Middle College East (Tucson, AZ)
Pcjted - Aztec Middle College North West (Tucson, AZ)
Pcjted - Baboquivari High School (Topawa, AZ)
Pcjted - Canyon Del Oro High School (Tucson, AZ)
Pcjted - Catalina Foothills High School (Tucson, AZ)
Pcjted - Catalina High School (Tucson, AZ)
Pcjted - Central Campus (Tucson, AZ)
Pcjted - Cholla High School (Tucson, AZ)
Pcjted - Cienega High School (Vail, AZ)
Pcjted - Desert View High School (Tucson, AZ)
Pcjted - Empire High School (Tucson, AZ)
Pcjted - Flowing Wells High School (Tucson, AZ)
Pcjted - Howenstine High School (Tucson, AZ)
Pcjted - Ironwood Ridge High School (Oro Valley, AZ)
Pcjted - Marana High School (Tucson, AZ)
Pcjted - Mica Mountain High School (Tucson, AZ)
Pcjted - Mountain View High School (Tucson, AZ)
Pcjted - Palo Verde High School (Tucson, AZ)
Pcjted - Project More (Tucson, AZ)
Pcjted - Pueblo High School (Tucson, AZ)
Pcjted - Rincon High School (Tucson, AZ)
Pcjted - Rio Rico High School (Rio Rico, AZ)
Pcjted - Sabino High School (Tucson, AZ)
Pcjted - Sahuarita High School (Sahuarita, AZ)
Pcjted - Sahuaro High School (Tucson, AZ)
Pcjted - San Manuel High School (San Manuel, AZ)
Pcjted - Santa Rita High School (Tucson, AZ)
Pcjted - Southwest Alt. High School (Tucson, AZ)
Pcjted - Sunnyside High School (Tucson, AZ)
Pcjted - Tanque Verde High School (Tucson, AZ)
Pcjted - Tapp High School (Tucson, AZ)
Pcjted - Tucson High School (Tucson, AZ)
Pcjted - University High School (Tucson, AZ)
Pcjted - Vail High School (Tucson, AZ)
Pcjted - Walden Grove High School (Sahuarita, AZ)
Pcjted- Nogales High School (Nogales, AZ)
Pcjted- Pierson High School (Nogales, AZ)
Pcm High School (Monroe, IA)
Pd Graham Elementary School (Westland, MI)
Pe Ell School (Pe Ell, WA)
Pea Ridge High School (Pea Ridge, AR)
Peabody Elementary (Memphis, TN)
Peabody High School (Trenton, TN)
Peabody Magnet High School (Alexandria, LA)
Peabody Veterans Memorial High (Peabody, MA)
Peabody-Burns Elementary (Peabody, KS)
Peabody-Burns Jr/Sr High School (Peabody, KS)
Peace Academy (Louisville, KY)
Peace Academy (Tulsa, OK)
Peace And Education Coalition HS (Chicago, IL)
Peace Center (Dolton, IL)
Peace Lutheran School (Kissimmee, FL)
Peace River Elementary School (Port Charlotte, FL)
Peaceforce Christian Academy (Orlando, FL)
Peach County High School (Fort Valley, GA)
Peachtree Academy Private School (Conyers, GA)
Peachtree Academy Private School (Covington, GA)
Peachtree Ridge High School (Suwanee, GA)
Peak Charter Academy (Apex, NC)
Peak High School (Wheatland, WY)
Peak Prep Pleasant Valley (Rocklin, CA)
Peak To Peak Charter School (Lafayette, CO)
Peaks Mill Elementary (Frankfort, KY)
Peakview School (Walsenburg, CO)
Pear Park Baptist School (Grand Junction, CO)
Pearblossom Academy Inc (Bogue Chitto, MS)
Pearblossom Elementary (Pearblossom, CA)
Pearce Elementary School (Pearce, AZ)
Pearce H S (Richardson, TX)
Pearl Alternativeadult Education School (Fennville, MI)
Pearl B. Larsen Elementary School (Saint Croix, VI)
Pearl City High School (Pearl City, HI)
Pearl City High School (Pearl City, IL)
Pearl Creek Colony Elementary - 05 (Iroquois, SD)
Pearl Hall El (So Houston, TX)
Pearl Harbor Christian Academy (Waipahu, HI)
Pearl High School (Pearl, MS)
Pearl River Central High School (Carriere, MS)
Pearl River High School (Pearl River, LA)
Pearl River High School (Pearl River, NY)
Pearl Stephens Elementary School (Warner Robins, GA)
Pearl-Cohn High (Nashville, TN)
Pearland H S (Pearland, TX)
Pearland J H East (Pearland, TX)
Pearsall H S (Pearsall, TX)
Pearson Early Childhood (Plano, TX)
Pearson Elementary (Wheaton, MN)
Pearson School (Winsted, CT)
Pease Communications/Technology Academy (Midland, TX)
Pease El (Odessa, TX)
Pease Middle (San Antonio, TX)
Peaster H S (Weatherford, TX)
Peavine Public School (Stilwell, OK)
Pebble Hills H S (El Paso, TX)
Pebblebrook High School (Mableton, GA)
Pecan Creek El (Denton, TX)
Pecan Grove El (Richmond, TX)
Pecan Park Elementary School (Ocean Springs, MS)
Pecan Ridge H S (San Saba, TX)
Pecan Springs El (Austin, TX)
Pecatonica Elementary (Hollandale, WI)
Pecatonica High (Blanchardville, WI)
Pecatonica High School (Pecatonica, IL)
Peck Community Elem School (Peck, MI)
Peck Elem School (Chicago, IL)
Peck Elementary School (Peck, ID)
Peck Jrsr High School (Peck, MI)
Peck Slip School (The) (New York, NY)
Pecos Connections Academy (Carlsbad, NM)
Pecos H S (Pecos, TX)
Pecos High (Pecos, NM)
Pecos Kind (Pecos, TX)
Peddie School (Hightstown, NJ)
Pedley Elementary (Jurupa Valley, CA)
Pedro C. Timothee Anexo (San Juan, PR)
Pedro Carlos Timothee (San Juan, PR)
Pedro Falu Orellano (Rio Grande, PR)
Pedro Melendez Santiago (Santa Isabel, PR)
Pedro Menendez High School (St Augustine, FL)
Pedro P. Casablanca (Bayamon, PR)
Pedro Valley School (Tulelake, CA)
Pee Dee Academy (Mullins, SC)
Peebles El Sch (Pittsburgh, PA)
Peebles High School (Peebles, OH)
Peekskill High School (Peekskill, NY)
Peep - Prepare (San Luis Obispo, CA)
Peet Junior High School (Cedar Falls, IA)
Peete El (Tyler, TX)
Peetz Elementary School (Peetz, CO)
Peetz Junior-Senior High School (Peetz, CO)
Pegasus Charter H S (Dallas, TX)
Pegasus High (San Jose, CA)
Pegasus School (Lockhart, TX)
Peggy Heller Elementary (Atwater, CA)
Pegram Elementary Fine Arts Magnet School (Pegram, TN)
Peiffer Elementary School (Littleton, CO)
Peirce (West Newton, MA)
Pekin Community High School (Pekin, IL)
Pekin Community Junior/ Senior High School (Packwood, IA)
Pekin Preschool Family Ed Center (Pekin, IL)
Pelahatchie Attendance Center (Pelahatchie, MS)
Pelahatchie Elementary School (Pelahatchie, MS)
Pelham City Middle School (Pelham, GA)
Pelham High School (Pelham, AL)
Pelham High School (Pelham, GA)
Pelham High School (Pelham, NH)
Pelham Lab High School (Bronx, NY)
Pelham Memorial High School (Pelham, NY)
Pelham Memorial School (Pelham, NH)
Pelham Preparatory Academy (Bronx, NY)
Pelham Ridge (Pelham, AL)
Pelican Island Elementary School (Sebastian, FL)
Pelican Marsh Elementary School (Naples, FL)
Pelican Rapids Alt Learning Center (Pelican Rapids, MN)
Pelican Rapids Secondary (Pelican Rapids, MN)
Pelican School (Pelican, AK)
Pelion High (Pelion, SC)
Pell City High School (Pell City, AL)
Pella Christian High School (Pella, IA)
Pella High School (Pella, IA)
Pellston Middlehigh School (Pellston, MI)
Pemberton Early Childhood Education Center (Pemberton, NJ)
Pemberton Elem (Richmond, VA)
Pemberton Elementary (Salisbury, MD)
Pemberton Township High School (Pemberton, NJ)
Pembine High (Pembine, WI)
Pembroke Academy (Pembroke, NH)
Pembroke High School (Pembroke, MA)
Pembroke Intermediate School (Corfu, NY)
Pembroke Junior-Senior High School (Corfu, NY)
Pembroke Lakes Elementary School (Pembroke Pines, FL)
Pembroke Pines Elementary School (Pembroke Pines, FL)
Pemiscot Co Career Tech Ctr (Hayti, MO)
Pen Argyl Area HS (Pen Argyl, PA)
Pena El (Brownsville, TX)
Penacook Elementary School (Penacook, NH)
Penasco High (Penasco, NM)
Pence Elementary (Fairfield, IA)
Pend Oreille River School (Newport, WA)
Pender Early College High (Burgaw, NC)
Pender High (Burgaw, NC)
Pender High School (Pender, NE)
Pendergrass Fairwold School (Columbia, SC)
Penderlea Christian Academy (Rocky Point, NC)
Pendleton County High School (Falmouth, KY)
Pendleton County Middle/High School (Franklin, WV)
Pendleton Heights High School (Pendleton, IN)
Pendleton High (Anderson, SC)
Pendleton High School (Pendleton, OR)
Pendroy School (Pendroy, MT)
Penelope School (Penelope, TX)
Penfield Montessori Academy (Milwaukee, WI)
Penfield Senior High School (Penfield, NY)
Peniel Baptist Academy (Palatka, FL)
Peninsula Alternative Programs (Gig Harbor, WA)
Peninsula Catholic High School (Newport News, VA)
Peninsula Elementary (Moses Lake, WA)
Peninsula High (Continuation) (San Bruno, CA)
Peninsula High (San Bruno, CA)
Peninsula High School (Gig Harbor, WA)
Penitentiary Of Nm-Santa Fe (Santa Fe, NM)
Penn (William) High School (New Castle, DE)
Penn Beach Elementary (Pennsville, NJ)
Penn Cambria HS (Cresson, PA)
Penn High School (Mishawaka, IN)
Penn Hills Shs (Pittsburgh, PA)
Penn Manor HS (Millersville, PA)
Penn Trafford HS (Harrison City, PA)
Penn Treaty Sch (Philadelphia, PA)
Penn View Christian Academy (Penns Creek, PA)
Penn Wood El Sch (West Chester, PA)
Penn Wood HS (Lansdowne, PA)
Penn Yan Academy (Penn Yan, NY)
Penn Yan Middle School (Penn Yan, NY)
Penn-Griffin Schools (High Point, NC)
Penn-Lincoln El Sch (Altoona, PA)
Penncrest HS (Media, PA)
Penney High (Hamilton, MO)
Pennfield Senior High School (Battle Creek, MI)
Pennridge Central Ms (Perkasie, PA)
Pennridge HS (Perkasie, PA)
Pennridge North Ms (Perkasie, PA)
Penns Grove High School (Carneys Point, NJ)
Penns Manor Area Jshs (Clymer, PA)
Penns Valley Area Jshs (Spring Mills, PA)
Pennsauken High School (Pennsauken, NJ)
Pennsauken Intermediate School (Pennsauken, NJ)
Pennsbury HS (Fairless Hills, PA)
Pennsville Memorial High School (Pennsville, NJ)
Pennsylvania Cyber Cs (Midland, PA)
Pennsylvania Distance Learning Cs (Sewickley, PA)
Pennsylvania Leadership Cs (West Chester, PA)
Pennsylvania School For The Deaf (Philadelphia, PA)
Pennsylvania Virtual Cs (King Of Prussia, PA)
Penny Road Elementary (Cary, NC)
Pennyroyal Elementary School (Franklin, OH)
Penobscot Christian School (Bangor, ME)
Penobscot Elementary School (Penobscot, ME)
Penobscot Valley High School (Howland, ME)
Penquis Valley Middle/High School (Milo, ME)
Penrose Elementary School (Penrose, CO)
Penrose Sch (Philadelphia, PA)
Pensacola Catholic High School (Pensacola, FL)
Pensacola High School (Pensacola, FL)
Pensacola Learning Academy (Cantonment, FL)
Pensacola Private School Of Liberal Arts (Pensacola, FL)
Pensocola Mennonite Christian School (Pensacola, FL)
Penta Career Center - On Campus (Perrysburg, OH)
Penta Satellite (Perrysburg, OH)
Pentecostal Church Of God Christian Academy (Newnan, GA)
Pentucket Regional Sr High (West Newbury, MA)
Pentwater Public School (Pentwater, MI)
People For People Cs (Philadelphia, PA)
Peoples Academy (Morrisville, VT)
Peoples Preparatory Charter School (Newark, NJ)
Peoria Accelerated High School (Peoria, AZ)
Peoria Christian School - Monroe (Peoria Heights, IL)
Peoria Christian School (Peoria, IL)
Peoria Cty Jvnl Det Ctr 9-12 (Peoria, IL)
Peoria Ecampus (Peoria, AZ)
Peoria Educ Reg For Empl Traing (Peoria, IL)
Peoria Elementary School (Aurora, CO)
Peoria Flex Academy (Peoria, AZ)
Peoria Heights Grade School (Peoria Heights, IL)
Peoria Heights High School (Peoria Heights, IL)
Peoria High School (Peoria, AZ)
Peoria High School (Peoria, IL)
Peoria Regional High School (Hanna City, IL)
Peotone Elem School (Peotone, IL)
Peotone High School (Peotone, IL)
Pepin Academies (Tampa, FL)
Pepin Academies Of Pasco County (New Port Richey, FL)
Pepin High (Pepin, WI)
Pepper Elementary School (Oak Park, MI)
Pepperell Christian Academy (Pepperell, MA)
Pepperell High School (Lindale, GA)
Pequannock Township High School (Pompton Plains, NJ)
Pequannock Valley School (Pompton Plains, NJ)
Pequea Valley HS (Kinzers, PA)
Pequea Valley Intrmd Sch (Kinzers, PA)
Pequenakonck Elementary School (North Salem, NY)
Pequot Lakes Senior High (Pequot Lakes, MN)
Percy Julian Middle School (Oak Park, IL)
Percy W Neblett El (Sherman, TX)
Peres Elementary (Richmond, CA)
Perez El (Austin, TX)
Perez El (Brownsville, TX)
Performance Based Preparatory Academy (Fort Pierce, FL)
Performance Learning Center (Augusta, GA)
Performance Learning Center (Charlotte, NC)
Performance Learning Center (Concord, NC)
Performing Arts Academy Of The Ocean County Vocational Tech (Toms River, NJ)
Performing Arts And Technology High School (Brooklyn, NY)
Performing Arts Community At Diego Rivera Learning Complex (Los Angeles, CA)
Perham Area Learning Center (Perham, MN)
Perham Senior High (Perham, MN)
Perkerson Elementary School (Atlanta, GA)
Perkins County Junior- Senior High School (Grant, NE)
Perkins High School (Sandusky, OH)
Perkins Middle (Brownsville, TX)
Perkins School For The Blind (Watertown, MA)
Perkins-Tryon HS (Perkins, OK)
Perkins-Tryon Intermediate Es (Perkins, OK)
Perkiomen School (Pennsburg, PA)
Perkiomen Valley HS (Collegeville, PA)
Perkiomen Valley Ms-West (Zieglerville, PA)
Permian H S (Odessa, TX)
Permission To Succeed Academy (Fort Lauderdale, FL)
Perpich Center For Arts Education (Golden Valley, MN)
Perquimans Central (Winfall, NC)
Perquimans County High (Hertford, NC)
Perquimans County Middle (Winfall, NC)
Perrin H S (Perrin, TX)
Perrin Learning Ctr (Denison, TX)
Perrin Woods Elementary School (Springfield, OH)
Perris High (Perris, CA)
Perris Lake High (Continuation) (Perris, CA)
Perry Career Academy - Eula Wilburn Ponds Perry Center For (Jonesboro, GA)
Perry Central High School (New Augusta, MS)
Perry Central Jr-Sr High School (Leopold, IN)
Perry Co Voc Complex (New Augusta, MS)
Perry County Alternative Center (New Augusta, MS)
Perry County Central High School (Hazard, KY)
Perry County High School (Linden, TN)
Perry County Virtual School (Linden, TN)
Perry Creek Elementary School (Sioux City, IA)
Perry Elementary (Perry, IA)
Perry Elementary (San Diego, CA)
Perry Hall Christian School (Perry Hall, MD)
Perry Hall Elementary (Baltimore, MD)
Perry Hall High (Baltimore, MD)
Perry High School (Gilbert, AZ)
Perry High School (Lima, OH)
Perry High School (Massillon, OH)
Perry High School (Perry, GA)
Perry High School (Perry, IA)
Perry High School (Perry, MI)
Perry High School (Perry, OH)
Perry Hill Elementary School (Fort Wayne, IN)
Perry Hill Elementary School (Shelton, CT)
Perry HS (Perry, OK)
Perry Jhs (Perry, OK)
Perry Junior High School (New Hartford, NY)
Perry Junior-Senior High School (Perry, NY)
Perry Learning Center (Grand Blanc, MI)
Perry Lecompton High (Perry, KS)
Perry Lower Intrmd Sch (Ellwood City, PA)
Perry Meridian High School (Indianapolis, IN)
Perry Middle School (Perry, IA)
Perry W Harrison Elementary (Pittsboro, NC)
Perry Worth Elementary School (Lebanon, IN)
Perrydale School (Amity, OR)
Perrysburg High School (Perrysburg, OH)
Perrysburg Junior High School (Perrysburg, OH)
Perryton H S (Perryton, TX)
Perryville Area Car Tech Ctr (Perryville, MO)
Perryville Elementary (Perryville, MD)
Perryville High (Perryville, MD)
Perryville High School (Perryville, AR)
Perryville Middle (Perryville, MD)
Perryville School (Perryville, AK)
Perryville Sr. High (Perryville, MO)
Persell Middle School (Jamestown, NY)
Perseus House Cs Of Excellence (Erie, PA)
Pershing Continuation High (Fresno, CA)
Pershing County High School (Lovelock, NV)
Pershing Elem School (Berwyn, IL)
Pershing Elementary School (Lincoln, NE)
Pershing High School (Detroit, MI)
Person High (Roxboro, NC)
Perspectives Chtr - High School Of Technology (Chicago, IL)
Perspectives Chtr - Iit Campus (Chicago, IL)
Perspectives Chtr - Joslin Campus (Chicago, IL)
Perspectives Chtr - Leadership Acad (Chicago, IL)
Perth Amboy High School (Perth Amboy, NJ)
Peru High School (Peru, IN)
Peru High School (Peru, NY)
Pescadero High (Pescadero, CA)
Peshastin Dryden Elementary (Peshastin, WA)
Peshine Avenue School (Newark, NJ)
Peshtigo Elementary (Peshtigo, WI)
Peshtigo High (Peshtigo, WI)
Petal High School (Petal, MS)
Petal Middle School (Petal, MS)
Petaluma Accelerated Charter (Petaluma, CA)
Petaluma High (Petaluma, CA)
Pete Gallego El (Eagle Pass, TX)
Peter Coleman Elementary School (Pago Pago, AS)
Peter Cooper School (Ringwood, NJ)
Peter E Hyland Center (Baytown, TX)
Peter J Kirksey Career Center (Eutaw, AL)
Peter Johansen High (Modesto, CA)
Peter Kirk Elementary (Kirkland, WA)
Peter Muhlenberg Middle (Woodstock, VA)
Peter Pan Childcare & Learning Center (Miami, FL)
Peter Woodbury School (Bedford, NH)
Peters Canyon Elementary (Tustin, CA)
Peters El Sch (Slatington, PA)
Peters Twp HS (Mcmurray, PA)
Petersburg Elem School (Petersburg, IL)
Petersburg Elementary School (Petersburg, WV)
Petersburg High (Petersburg, VA)
Petersburg High School (Petersburg, AK)
Petersburg High School (Petersburg, WV)
Petersburg Primary (Pageland, SC)
Petersburg Regional Alternative (Petersburg, VA)
Petersburg School (Petersburg, TX)
Petersen Alternative Center For Education (Modesto, CA)
Peterson Academic Center J-Shs (Las Vegas, NV)
Peterson Elem (Wichita, KS)
Peterson Elementary School (Klamath Falls, OR)
Peterson Middle (Kerrville, TX)
Peterson-Warren Academy (Inkster, MI)
Petoskey High School (Petoskey, MI)
Petra Christian Academy (Boise, ID)
Petra Corretjer De Oneill (Manati, PR)
Petra Mercado Bougart (Humacao, PR)
Petra Zenon De Fabery (Trujillo Alto, PR)
Petrolia Junior High/High School (Petrolia, TX)
Petrosky El (Houston, TX)
Pettisville High School (Pettisville, OH)
Pettus Secondary (Pettus, TX)
Pevely Elem. (Pevely, MO)
Pewamowestphalia Middlehigh School (Westphalia, MI)
Pewaukee High (Pewaukee, WI)
Pewitt H S (Omaha, TX)
Pewitt J H (Omaha, TX)
Peyton College Academy (Peyton, CO)
Peyton Senior High School (Peyton, CO)
Pfeiffer Elementary School (Akron, OH)
Pfeiffer Intermediate School (Massillon, OH)
Pflugerville H S (Pflugerville, TX)
Pha Preparatory School (Kissimmee, FL)
Phalen Virtual Leadership Academy (Indianapolis, IN)
Phantom Knight School Of Opportunity (De Pere, WI)
Pharos Academy Charter School (Bronx, NY)
Phase (Plymouth, MN)
Phelps Architecture Construction And Engineering HS (Washington, DC)
Phelps Elementary (Phelps, WI)
Phelps Gifted Ctr. (Springfield, MO)
Phelps High (Phelps, WI)
Phelps High School (Phelps, KY)
Phelps Luck Elementary (Columbia, MD)
Phil Campbell High School (Phil Campbell, AL)
Phil-Mont Christian Academy (Erdenheim, PA)
Phila Yeshiva (Philadelphia, PA)
Philadelphia Academy Cs (Philadelphia, PA)
Philadelphia Electrical & Tech Chs (Philadelphia, PA)
Philadelphia Elementary (Pomona, CA)
Philadelphia Free School (Philadelphia, PA)
Philadelphia High School (Philadelphia, MS)
Philadelphia Learning Academy - North (Philadelphia, PA)
Philadelphia Learning Academy - South (Philadelphia, PA)
Philadelphia Military Acad At Elverson (Philadelphia, PA)
Philadelphia Performing Arts Cs (Philadelphia, PA)
Philip Barbour High School Complex (Philippi, WV)
Philip Elementary - 02 (Philip, SD)
Philip High School - 01 (Philip, SD)
Philip J Schuyler Achievement Academy (Albany, NY)
Philip J Weaver Ed Center (Greensboro, NC)
Philip Jr. High - 03 (Philip, SD)
Philip O'Brien Elementary School (Lakeland, FL)
Philip R. Smith School (South Windsor, CT)
Philip Simmons Elementary (Wando, SC)
Philip Simmons High (Charleston, SC)
Philippi Middle School (Philippi, WV)
Philips Academy (Charlotte, NC)
Philipsburg School (Philipsburg, MT)
Philipsburg-Osceola Area HS (Philipsburg, PA)
Philipsburg-Osceola Area Ms (Philipsburg, PA)
Phillip J Patino School Of Entrepreneurship (Fresno, CA)
Phillip O Berry Academy Of Technology (Charlotte, NC)
Phillips Academy (Andover, MA)
Phillips Academy (Birmingham, AL)
Phillips Academy High School (Chicago, IL)
Phillips Building Futures - Loudoun (Leesburg, VA)
Phillips Community Career & Tech (Stuttgart, AR)
Phillips Elementary School (Phillips, ME)
Phillips Exeter Academy (Exeter, NH)
Phillips Global Institute (Jersey City, NJ)
Phillips High (Phillips, WI)
Phillips High (Raleigh, NC)
Phillips High School (Bear Creek, AL)
Phillips Programs ~ Building Futures Loudon (Leesburg, VA)
Phillips School - Fairfax (Fairfax, VA)
Phillips School - Laurel (Laurel, MD)
Phillips School-Annandale (Annandale, VA)
Phillipsburg Elementary School (Phillipsburg, NJ)
Phillipsburg High (Phillipsburg, KS)
Phillipsburg High School (Phillipsburg, NJ)
Phillipston Memorial (Phillipston, MA)
Phillis Wheatley Elementary (Kansas City, MO)
Philo High School (Duncan Falls, OH)
Philo Junior High School (Philo, OH)
Philomath Academy (Philomath, OR)
Philomath Elementary School (Philomath, OR)
Philomath High School (Philomath, OR)
Philomath Middle School (Philomath, OR)
Phineas Banning Senior High (Wilmington, CA)
Phoebus High (Hampton, VA)
Phoenicia Elementary School (Phoenicia, NY)
Phoenix (Camarillo, CA)
Phoenix (Elgin, IL)
Phoenix Academic Center (Sand Springs, OK)
Phoenix Academy (Annapolis, MD)
Phoenix Academy (Apple Valley, CA)
Phoenix Academy (Austin, TX)
Phoenix Academy (Lancaster, PA)
Phoenix Academy (Maplewood, MN)
Phoenix Academy (Oxford, NC)
Phoenix Academy (San Rafael, CA)
Phoenix Academy (Winchester, KY)
Phoenix Academy Community Day (King City, CA)
Phoenix Academy High (Chapel Hill, NC)
Phoenix Academy Public Charter High School Springfield (Springfield, MA)
Phoenix Alternative High School (Kalamazoo, MI)
Phoenix Alternative High School (Powers, MI)
Phoenix Alternative School (Yale, MI)
Phoenix Center (Chesterfield, VA)
Phoenix Center For Innovative Learning (Fredericksburg, VA)
Phoenix Charter Academy (Chelsea, MA)
Phoenix Charter Academy (Redding, CA)
Phoenix Charter High (Alcolu, SC)
Phoenix Christian Preparatory School (Phoenix, AZ)
Phoenix Coding Academy (Phoenix, AZ)
Phoenix College Preparatory Academy (Phoenix, AZ)
Phoenix Continuation (Los Angeles, CA)
Phoenix Day School For The Deaf (Phoenix, AZ)
Phoenix Elementary Academy Community Day (Fresno, CA)
Phoenix Elementary School (Grand Forks, ND)
Phoenix Elementary School (Phoenix, OR)
Phoenix H S (Elgin, TX)
Phoenix High (Continuation) (Lincoln, CA)
Phoenix High (San Jose, CA)
Phoenix High Community Day (Lancaster, CA)
Phoenix High School (Braithwaite, LA)
Phoenix High School (Dalton, GA)
Phoenix High School (Kennewick, WA)
Phoenix High School (Lawrenceville, GA)
Phoenix High School (Phoenix, OR)
Phoenix Horizon Community (Georgetown, KY)
Phoenix Learning Academy Inc. (Pensacola, FL)
Phoenix Learning Center (Buffalo, MN)
Phoenix Military Academy HS (Chicago, IL)
Phoenix Project (Kenosha, WI)
Phoenix Recovery Programs (Mankato, MN)
Phoenix School (Plymouth, MN)
Phoenix School (Roseburg, OR)
Phoenix School At Southwest Schools (Houston, TX)
Phoenix Secondary (Fresno, CA)
Phoenix Union Bioscience High School (Phoenix, AZ)
Phoenix Union-Wilson College Preparatory (Phoenix, AZ)
Phoenixville Area HS (Phoenixville, PA)
Phyl'S Academy (Margate, FL)
Pi Program (Chimacum, WA)
Picadome Elementary School (Lexington, KY)
Picayune Memorial High School (Picayune, MS)
Piccowaxen Middle School (Newburg, MD)
Pickaway-Ross Career & Technology Center (Chillicothe, OH)
Pickens Academy (Carrollton, AL)
Pickens County Career And Technology Center (Liberty, SC)
Pickens County High School (Jasper, GA)
Pickens County High School (Reform, AL)
Pickens Elementary (Pickens, SC)
Pickens Elementary/High School (Pickens, WV)
Pickens High (Pickens, SC)
Pickering High School (Leesville, LA)
Pickerington Alternative School (Pickerington, OH)
Pickerington Elementary School (Pickerington, OH)
Pickerington High School Central (Pickerington, OH)
Pickerington High School North (Pickerington, OH)
Pickerington Lakeview Junior High (Pickerington, OH)
Pickett Co High School (Byrdstown, TN)
Pickett Elem. (St Joseph, MO)
Pickett Elementary School (Lexington, NC)
Pickett'S Mill Elementary (Acworth, GA)
Pickford Public Schools (Pickford, MI)
Pickwick Early Childhood Center (Ottumwa, IA)
Pickwick Southside School (Counce, TN)
Picotte Elementary School (Omaha, NE)
Piece Of Heaven Christian Academy Inc (Kissimmee, FL)
Pieceful Solutions Llc (Gilbert, AZ)
Pied Piper School (Alpena, MI)
Piedmont Avenue Elementary (Oakland, CA)
Piedmont Christian School (Bumpass, VA)
Piedmont Classical High School (Browns Summit, NC)
Piedmont Community Charter School (Gastonia, NC)
Piedmont Elementary (Duluth, MN)
Piedmont High (Monroe, NC)
Piedmont High (Piedmont, CA)
Piedmont High School (Piedmont, AL)
Piedmont Hills High (San Jose, CA)
Piedmont HS (Piedmont, OK)
Piedmont Middle (San Jose, CA)
